date,equity,cash_realized,open_positions,exposure,exposure_pct
2025-08-01,999869.1647491455,1000000.0,1,9987.30020904541,0.009988607070957226
2025-08-04,1000114.1366066232,999556.8,17,169445.13232743597,0.1694257946421611
2025-08-05,999357.5650400346,999142.01,25,248856.7442744643,0.24901672132185743
2025-08-06,994835.6138515084,994315.7999999999,25,248439.5145705611,0.2497292126572821
2025-08-07,990334.8252999934,989618.1599999998,30,297288.9015435161,0.30019029317025275
2025-08-08,995724.2910269863,988609.8599999998,37,366656.8791861024,0.36823132918444107
2025-08-11,998629.7845733354,986953.45,44,436601.84635012643,0.43720090577577214
2025-08-12,1015480.1322108088,985640.9099999999,51,507850.09783251653,0.5001083543868776
2025-08-13,1012782.2811877247,984076.58,58,579249.8434535316,0.5719391563349878
2025-08-14,1008927.9869352067,978994.7899999998,50,500695.34426495404,0.49626469951131275
2025-08-15,1004084.2100675004,980653.87,53,531089.3037723359,0.528929046435889
2025-08-18,1002497.8643492501,978722.01,49,491194.8645108993,0.4899709834591497
2025-08-19,986498.2923729835,978064.3700000001,35,350301.7175243631,0.355096121536841
2025-08-20,981047.504394973,974630.5199999999,20,199199.22303825064,0.2030474795011072
2025-08-21,983452.5350844727,973610.4799999999,24,237269.9090087354,0.24126218657655435
2025-08-22,992682.5365998612,973610.4799999999,29,286844.187876457,0.2889586320909366
2025-08-25,988665.8565772837,972238.9999999999,36,355167.43432580767,0.35923910182898516
2025-08-26,993950.0843017806,972775.35,43,424296.05466058373,0.42687863441214824
2025-08-27,989688.3103996903,971314.65,45,443234.9313285201,0.44785305299758227
2025-08-28,994344.3889696749,970383.3,54,532770.701656851,0.5358009836098137
2025-08-29,991806.8085967908,969185.4500000001,51,503101.0849084965,0.5072571397450722
2025-09-02,992720.9770712557,961196.9499999998,29,286337.7887399014,0.28843733068345206
2025-09-03,993773.0205590954,961861.1299999999,31,306809.9886066731,0.30873245928337056
2025-09-04,996326.0980463608,961417.1499999999,40,395696.0917976753,0.3971552010667725
2025-09-05,1006200.3225828696,964096.2999999998,41,406227.342176814,0.40372412238355004
2025-09-08,1008266.0147250794,963864.6199999998,45,446509.802928214,0.4428492048796888
2025-09-09,1010123.9989457511,963679.1699999998,45,446982.7331736135,0.4425028349391972
2025-09-10,1013515.8040724741,964732.2199999999,49,488131.5065871442,0.48162199802484684
2025-09-11,1040328.3564773597,965423.0399999998,51,510997.1202240572,0.4911883032337376
2025-09-12,1031748.712600187,967505.3899999997,48,482113.7307154521,0.46727824791798506
2025-09-15,1044359.9810745942,968858.2099999996,49,493838.1610867366,0.4728620112182026
2025-09-16,1040548.7931650997,967553.2299999996,49,495870.42233523563,0.47654701595195437
2025-09-17,1047363.431721408,972669.6799999997,50,510219.80183551076,0.487146855029044
2025-09-18,1064196.0989904585,977129.6199999998,62,639362.2250462539,0.6007936184438
2025-09-19,1075368.17080532,976870.9599999997,68,703686.794892884,0.6543682563767051
2025-09-22,1088358.085926246,1001461.9799999997,72,751163.9666998679,0.6901809031543057
2025-09-23,1080995.2907549888,995746.1199999999,66,689021.3923982779,0.6373953691482334
2025-09-24,1063595.1744024935,998079.6199999998,60,628325.1201518544,0.5907558959214297
2025-09-25,1049010.3579652756,1002450.4299999998,34,357193.17918480205,0.34050491157936297
2025-09-26,1046239.3908863917,1008178.6799999999,34,356569.96465953905,0.34081106844720016
2025-09-29,1051281.4250781713,1015387.7899999999,40,418869.8472905364,0.3984374091451202
2025-09-30,1048883.6922751355,1012211.7699999999,39,407051.0078737043,0.38808021410912513
2025-10-01,1055153.2424817968,1011705.7699999999,49,512260.69370095956,0.4854846415446588
2025-10-02,1065471.5423131585,1009041.4899999999,52,544634.8381826185,0.5111678881635883
2025-10-03,1071198.1605346694,1010365.96,58,609781.4278613649,0.5692517503549516
2025-10-06,1091267.2468895875,1009544.83,64,675432.6587787475,0.6189433987906416
2025-10-07,1080675.8669955952,1006672.58,52,550511.6599190778,0.509414225608243
2025-10-08,1103508.656952986,1005919.21,55,584907.0991967445,0.5300430544983608
2025-10-09,1107361.2798209456,1014502.1199999999,53,567539.6796608849,0.5125153732598028
2025-10-10,1089818.4760395898,1022424.6799999999,42,450228.4982902917,0.413122467813563
2025-10-13,1137541.2470036764,1017791.09,51,553554.5097577219,0.4866236817485115
2025-10-14,1161862.153614165,1024698.5899999999,46,500287.7401592378,0.4305913043152407
2025-10-15,1163116.8822121653,1024698.5899999999,62,686323.7805472242,0.5900729247793957
2025-10-16,1126332.5946148334,1027555.4299999999,58,642487.1695385802,0.5704240227179863
2025-10-17,1089711.6457074387,1033975.83,40,442815.3889451092,0.40636015104494394
2025-10-20,1102134.0603473543,1033470.9299999999,43,475193.37694086315,0.4311575098142768
2025-10-21,1073002.2936476131,1053726.3399999996,20,221230.7556500435,0.20617920106953502
2025-10-22,1059384.1849754425,1059628.0599999996,3,33985.43511199951,0.03208036857071576
2025-10-23,1059089.3354323148,1059628.0599999996,8,86712.67644074876,0.08187475176997519
2025-10-24,1058078.682109276,1059628.0599999996,36,381543.8907643731,0.3606006785844761
2025-10-27,1055372.2695265734,1050609.2399999995,46,485103.9250813897,0.45965195323826463
2025-10-28,1050510.9462773867,1048757.5999999996,47,494725.48721536866,0.4709379649669416
2025-10-29,1054475.6103337766,1043929.6699999997,49,515711.5760188766,0.48906923115617323
2025-10-30,1050402.2038030052,1036564.7899999997,40,420660.66470084153,0.40047580172416813
2025-10-31,1056545.7520728332,1034359.3199999997,46,483909.78254608763,0.45801119506344784
2025-11-03,1048821.5143324847,1024270.1799999997,38,399389.5007059385,0.38079834866862666
2025-11-04,1032864.6537742774,1014850.2899999998,20,210660.6096377593,0.20395761329228054
2025-11-05,1037531.054391548,1013483.4699999997,20,209021.45923142228,0.20146043662664273
2025-11-06,1028220.2849060623,1014906.7199999997,25,259104.64630037363,0.2519933229327851
2025-11-07,1024388.7753822186,1010123.2499999998,17,175158.24192124794,0.17098805271064507
2025-11-10,1029181.6361512415,1010123.2499999998,51,523360.7557607417,0.5085212729969778
2025-11-11,1019425.3544261459,1009168.7299999997,56,574189.9103662771,0.5632486065539342
2025-11-12,1016586.4310470105,1006355.6099999998,63,644134.3041036698,0.6336247311901047
