strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_2_day_low,DJT,2024-05-21,48.1848,,,2024-05-22,42.2058,2_day_low,2075,99983.5,-12406.51,-0.124086,,,,1,97.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:48.1800; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-20 00:00:00; filter_close=48.3800; filter_ma50=43.3610; filter_avg_value_10=218.38; filter_adr20=10.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,IBRX,2024-05-21,6.9707,,,2024-05-24,6.5393,2_day_low,14226,99165.13,-6136.4,-0.061881,,,,3,97.0,entry=rsi2_next_open; setup_rsi2=2.34; raw_entry=open:6.9700; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-20 00:00:00; filter_close=7.0400; filter_ma50=6.3470; filter_avg_value_10=46.58; filter_adr20=15.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,TWST,2024-05-24,41.9042,,,2024-05-28,41.2159,2_day_low,2389,100109.11,-1644.38,-0.016426,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=2.26; raw_entry=open:41.9000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=41.3600; filter_ma50=35.9376; filter_avg_value_10=44.25; filter_adr20=6.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,MOD,2024-05-23,98.8199,,,2024-05-29,96.7603,2_day_low,994,98226.96,-2047.2,-0.020842,,,,4,93.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:98.8100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=96.7500; filter_ma50=95.3636; filter_avg_value_10=99.40; filter_adr20=5.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,CVNA,2024-05-28,22.1522,,,2024-05-29,20.5979,2_day_low,4593,101745.12,-7138.78,-0.070163,,,,1,98.0,entry=rsi2_next_open; setup_rsi2=4.56; raw_entry=open:22.1500; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-24 00:00:00; filter_close=21.8300; filter_ma50=18.6353; filter_avg_value_10=368.62; filter_adr20=5.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,DJT,2024-05-22,43.5143,,,2024-05-31,48.0752,2_day_low,2268,98690.54,10344.0,0.104812,,,,7,95.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:43.5100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-21 00:00:00; filter_close=44.1900; filter_ma50=43.4630; filter_avg_value_10=220.86; filter_adr20=10.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,IAG,2024-05-23,4.0304,,,2024-05-31,3.9796,2_day_low,24332,98067.77,-1236.09,-0.012604,,,,6,92.0,entry=rsi2_next_open; setup_rsi2=4.59; raw_entry=open:4.0300; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=4.0100; filter_ma50=3.6524; filter_avg_value_10=49.50; filter_adr20=4.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,WING,2024-05-23,377.4063,,,2024-05-31,377.4249,2_day_low,258,97370.83,4.81,4.9e-05,,,,6,90.0,entry=rsi2_next_open; setup_rsi2=4.90; raw_entry=open:377.3686; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=374.9026; filter_ma50=365.1281; filter_avg_value_10=130.91; filter_adr20=3.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,TME,2024-05-24,13.7353,,,2024-05-31,13.8755,2_day_low,7269,99842.02,1019.13,0.010207,,,,5,95.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:13.7339; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=13.8197; filter_ma50=11.8426; filter_avg_value_10=130.25; filter_adr20=3.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,CVNA,2024-05-29,20.6021,,,2024-05-31,20.306,2_day_low,4915,101259.13,-1455.29,-0.014372,,,,2,97.0,entry=rsi2_next_open; setup_rsi2=1.44; raw_entry=open:20.6000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-28 00:00:00; filter_close=20.9180; filter_ma50=18.7353; filter_avg_value_10=351.08; filter_adr20=5.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,KD,2024-05-30,26.5827,,,2024-05-31,26.3274,2_day_low,3893,103486.29,-993.85,-0.009604,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=1.90; raw_entry=open:26.5800; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-29 00:00:00; filter_close=26.7100; filter_ma50=22.8092; filter_avg_value_10=47.62; filter_adr20=3.78; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low,EMBJ,2024-05-30,28.3703,,,2024-05-31,27.8852,2_day_low,3649,103523.28,-1770.04,-0.017098,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=2.24; raw_entry=open:28.3675; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-29 00:00:00; filter_close=28.0878; filter_ma50=26.5070; filter_avg_value_10=49.43; filter_adr20=3.42; rs_bucket=rs90_100
