date,open_positions,gross_exposure,exposure_pct
2024-05-21,0,0.0,0.0
2024-05-22,2,19959.5056758811,0.0199539635733747
2024-05-23,4,39752.878210500974,0.03978987552565359
2024-05-24,7,69773.9005463773,0.06965682409979745
2024-05-28,0,0.0,0.0
2024-05-29,0,0.0,0.0
2024-05-30,1,9954.01487898407,0.00993993828321374
2024-05-31,3,29919.281193089104,0.029868225103772288
2024-06-03,4,39947.73450392737,0.039935707409024204
2024-06-04,2,19996.54965687976,0.020001104531656176
2024-06-05,14,139813.44325189423,0.13942220884727718
2024-06-06,13,129832.49411137382,0.12966592795843657
2024-06-07,1,10006.380799447346,0.010035853302704381
2024-06-10,0,0.0,0.0
2024-06-11,1,9908.951123181152,0.009935757906498583
2024-06-12,2,19859.986624057005,0.01990616387820295
2024-06-13,1,9951.035500875854,0.00997299809664893
2024-06-14,0,0.0,0.0
2024-06-17,0,0.0,0.0
2024-06-18,1,9933.082987878035,0.009961653538072112
2024-06-20,5,49772.11614875792,0.049907160738944925
2024-06-21,8,79546.2540772171,0.07967461014422901
2024-06-24,6,59466.73965845947,0.059615607879019115
2024-06-25,11,109434.50493875108,0.10941354908124103
2024-06-26,7,69695.76890451188,0.06967977289261429
2024-06-27,2,19938.503874411013,0.019932787583902975
2024-06-28,2,19959.25319043796,0.01995953476865756
2024-07-01,5,49923.571751101495,0.049847973899591315
2024-07-02,4,39948.434877545544,0.03982724037575748
2024-07-03,1,10002.0001,0.009974640960656702
2024-07-05,1,10027.542872375107,0.009988575271445579
2024-07-08,1,10027.542872375107,0.00998980948772331
2024-07-09,1,10034.728005279001,0.00999417710927315
2024-07-10,2,20001.724605279,0.019922588446796088
2024-07-11,5,49962.147637857095,0.04976667230858431
2024-07-12,5,49942.65588174748,0.04972906523899506
2024-07-15,2,20049.284902272797,0.019927377073921115
2024-07-16,2,20055.525089217375,0.019939035957439396
2024-07-17,0,0.0,0.0
2024-07-18,0,0.0,0.0
2024-07-19,1,10003.720425823973,0.009967060186547137
2024-07-22,1,10003.720425823973,0.009974574525351002
2024-07-23,1,10018.282001464842,0.009987473858544241
2024-07-24,1,10018.282001464842,0.009993811971271289
2024-07-25,2,20005.158243305872,0.019966722864282655
2024-07-26,4,40003.53765919199,0.039891378587489194
2024-07-29,1,9979.537679421997,0.009981561121814402
2024-07-30,0,0.0,0.0
2024-07-31,1,9988.838597213746,0.009996317530255821
2024-08-01,3,29931.082065212253,0.02996665642580782
2024-08-02,1,9960.795632064819,0.009981737776880677
2024-08-05,0,0.0,0.0
2024-08-06,23,228693.0348690457,0.22851943243637937
