strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_5d_open,DASH,2025-02-26,194.1694,,,2025-03-05,193.5007,hold_5d_open,799,155141.36,-534.34,-0.003444,,,,5,90.0,entry=rsi2_next_open; setup_rsi2=3.03; raw_entry=open:194.1500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-02-25 00:00:00; filter_close=191.2700; filter_ma50=182.8332; filter_avg_value_10=1114.22; filter_adr20=3.22; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,VBIO,2025-02-27,6.4776,,,2025-03-06,4.7935,hold_5d_open,22400,145099.31,-37724.45,-0.259991,,,,5,94.0,entry=rsi2_next_open; setup_rsi2=4.14; raw_entry=open:6.4770; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-02-26 00:00:00; filter_close=6.8850; filter_ma50=5.4482; filter_avg_value_10=43.33; filter_adr20=19.19; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,APPS,2025-03-03,3.5604,,,2025-03-10,2.8297,hold_5d_open,39874,141965.63,-29133.5,-0.205215,,,,5,97.0,entry=rsi2_next_open; setup_rsi2=0.35; raw_entry=open:3.5600; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-02-28 00:00:00; filter_close=3.4300; filter_ma50=2.9122; filter_avg_value_10=27.82; filter_adr20=15.35; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,VNET,2025-03-04,10.001,,,2025-03-11,11.8488,hold_5d_open,13995,139963.99,25860.18,0.184763,,,,5,99.0,entry=rsi2_next_open; setup_rsi2=1.53; raw_entry=open:10.0000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-03 00:00:00; filter_close=9.9600; filter_ma50=7.7126; filter_avg_value_10=222.62; filter_adr20=14.00; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,KC,2025-03-04,14.9115,,,2025-03-11,17.3483,hold_5d_open,9453,140958.32,23034.83,0.163416,,,,5,99.0,entry=rsi2_next_open; setup_rsi2=2.78; raw_entry=open:14.9100; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-03 00:00:00; filter_close=14.9550; filter_ma50=13.3026; filter_avg_value_10=79.40; filter_adr20=8.30; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,GDS,2025-03-04,32.2232,,,2025-03-11,38.1862,hold_5d_open,4406,141975.52,26272.79,0.185052,,,,5,98.0,entry=rsi2_next_open; setup_rsi2=2.81; raw_entry=open:32.2200; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-03 00:00:00; filter_close=31.8400; filter_ma50=27.6034; filter_avg_value_10=257.38; filter_adr20=9.94; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,PBI,2025-03-05,9.6674,,,2025-03-12,8.9923,hold_5d_open,15533,150163.74,-10487.09,-0.069838,,,,5,96.0,entry=rsi2_next_open; setup_rsi2=4.12; raw_entry=open:9.6664; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-04 00:00:00; filter_close=9.5991; filter_ma50=8.2318; filter_avg_value_10=28.66; filter_adr20=4.81; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,RL,2025-03-05,249.498,,,2025-03-12,225.4408,hold_5d_open,601,149948.32,-14458.41,-0.096423,,,,5,90.0,entry=rsi2_next_open; setup_rsi2=3.77; raw_entry=open:249.4731; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-04 00:00:00; filter_close=248.8822; filter_ma50=248.7811; filter_avg_value_10=226.48; filter_adr20=3.24; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,PRMB,2025-03-06,31.9251,,,2025-03-13,30.3015,hold_5d_open,4583,146312.79,-7441.0,-0.050857,,,,5,91.0,entry=rsi2_next_open; setup_rsi2=4.63; raw_entry=open:31.9219; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-05 00:00:00; filter_close=32.1957; filter_ma50=31.7227; filter_avg_value_10=105.72; filter_adr20=3.44; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,TPR,2025-03-07,75.9974,,,2025-03-14,69.9304,hold_5d_open,1874,142419.06,-11369.52,-0.079831,,,,5,96.0,entry=rsi2_next_open; setup_rsi2=2.67; raw_entry=open:75.9898; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-06 00:00:00; filter_close=76.6108; filter_ma50=73.9998; filter_avg_value_10=416.06; filter_adr20=3.97; rs_bucket=rs90_100
