strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,NKTR,2026-04-30,83.199997,81.300003,1.899994,2026-05-05,85.420214,atr_trail_stop,124,10316.8,275.31,0.026685,1.168539,-0.552631,2.578956,5,96.0,setup_rsi2=4.78; next_open_entry; avg_value_10=168.5394M; adr20=6.1757; close=85.0400; ma50=76.5760
rsi2,SKYT,2026-04-30,30.459999,30.0,0.459999,2026-05-05,32.306721,atr_trail_stop,341,10386.86,629.73,0.060628,4.01462,-0.952175,7.119583,5,93.0,setup_rsi2=3.46; next_open_entry; avg_value_10=34.6443M; adr20=4.0328; close=31.9000; ma50=29.4726
rsi2,TNGX,2026-05-04,21.059999,20.76,0.299999,2026-05-05,22.430652,atr_trail_stop,493,10382.58,675.73,0.065083,4.568852,-0.366663,10.633362,1,98.0,setup_rsi2=2.31; next_open_entry; avg_value_10=80.3869M; adr20=7.5774; close=22.7100; ma50=19.6948
rsi2,PLPC,2026-05-05,314.410004,306.910004,7.5,2026-05-07,360.701699,atr_trail_stop,33,10375.53,1527.63,0.147234,6.172226,-0.015999,7.651998,2,93.0,setup_rsi2=4.80; next_open_entry; avg_value_10=56.9373M; adr20=6.4636; close=358.6600; ma50=289.4576
rsi2,KOS,2026-05-11,2.85,2.75,0.1,2026-05-13,2.999569,atr_trail_stop,3655,10416.75,546.67,0.05248,1.49569,-0.8,2.500002,2,94.0,setup_rsi2=4.27; next_open_entry; avg_value_10=56.4664M; adr20=5.9015; close=2.8800; ma50=2.7232
rsi2,AXGN,2026-05-12,40.860001,40.060001,0.799999,2026-05-13,40.647227,atr_trail_stop,255,10419.3,-54.26,-0.005207,-0.265967,-0.962501,0.937501,1,93.0,setup_rsi2=4.19; next_open_entry; avg_value_10=38.1197M; adr20=5.1576; close=40.9300; ma50=35.1970
rsi2,QUCY,2026-05-13,0.585,0.3,0.285,2026-05-15,2.461,atr_trail_stop,17819,10424.11,33428.44,3.206838,6.582457,-0.34386,15.245615,2,95.0,setup_rsi2=2.91; next_open_entry; avg_value_10=71.9030M; adr20=23.4048; close=1.3400; ma50=0.5501
rsi2,LAR,2026-05-15,9.87,9.84,0.03,2026-05-15,9.84,same_day_stop_loss,1090,10758.3,-32.7,-0.003039,-1.0,-8.666751,5.000064,0,95.0,setup_rsi2=4.78; next_open_entry; avg_value_10=41.9514M; adr20=6.5374; close=9.9600; ma50=8.3552
rsi2,LAR,2026-05-18,10.09,9.61,0.48,2026-05-18,9.61,same_day_stop_loss,1066,10755.94,-511.68,-0.047572,-1.0,-1.687499,0.165832,0,95.0,setup_rsi2=3.34; next_open_entry; avg_value_10=39.7981M; adr20=6.7781; close=9.3950; ma50=8.4101
rsi2,SNEX,2026-05-18,110.580002,108.879997,1.700005,2026-05-18,112.510002,end_of_backtest,97,10726.26,187.21,0.017453,1.135291,-0.535295,1.670582,0,92.0,setup_rsi2=4.08; next_open_entry; avg_value_10=87.7680M; adr20=3.7441; close=112.5100; ma50=93.5351
