strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_rsi2_gt_50,SBSW,2025-08-04,8.2611,7.9104,0.3507,2025-08-05,8.7064,rsi2_gt_50,1244,10276.81,553.99,0.053907,1.2699,-0.0578,1.3001,1,95.0,entry=rsi2_next_open; setup_rsi2=0.62; raw_entry=open:8.2603; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=8.0465; filter_ma50=7.2928; filter_avg_value_10=89.45; filter_adr20=3.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,AEHR,2025-08-04,17.5818,15.94,1.6418,2025-08-05,18.4782,rsi2_gt_50,584,10267.75,523.49,0.050984,0.546,-0.0803,1.1745,1,93.0,entry=rsi2_next_open; setup_rsi2=4.10; raw_entry=open:17.5800; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=16.8400; filter_ma50=13.6094; filter_avg_value_10=40.25; filter_adr20=9.15; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,EOSE,2025-08-04,5.6706,5.27,0.4006,2025-08-05,6.5093,rsi2_gt_50,1815,10292.08,1522.39,0.147919,2.094,-0.0638,2.1705,1,90.0,entry=rsi2_next_open; setup_rsi2=1.39; raw_entry=open:5.6700; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=5.5100; filter_ma50=4.9927; filter_avg_value_10=93.86; filter_adr20=8.98; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,IVZ,2025-08-04,20.2238,19.4005,0.8233,2025-08-05,20.4516,rsi2_gt_50,509,10293.91,115.95,0.011264,0.2767,-0.2606,0.3496,1,90.0,entry=rsi2_next_open; setup_rsi2=3.54; raw_entry=open:20.2218; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=19.9126; filter_ma50=16.1322; filter_avg_value_10=195.63; filter_adr20=3.33; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,FFAI,2025-08-04,2.1202,2.0,0.1202,2025-08-05,2.3198,rsi2_gt_50,4860,10304.23,969.84,0.094121,1.66,-0.2513,3.1593,1,90.0,entry=rsi2_next_open; setup_rsi2=2.67; raw_entry=open:2.1200; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=2.0100; filter_ma50=1.7516; filter_avg_value_10=97.14; filter_adr20=17.44; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,CAR,2025-08-05,161.7562,158.49,3.2662,2025-08-05,158.4742,same_day_stop_loss_red_candle,63,10190.64,-206.77,-0.02029,-1.0049,-1.3552,0.1236,0,92.0,entry=rsi2_next_open; setup_rsi2=0.45; raw_entry=open:161.7400; slippage_bps=1.0; decision_date=2025-08-04 00:00:00; filter_close=160.4600; filter_ma50=159.5602; filter_avg_value_10=283.41; filter_adr20=4.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,ABCL,2025-08-04,4.2754,4.185,0.0904,2025-08-06,4.1846,stop_loss,2405,10282.4,-218.48,-0.021248,-1.0046,-2.0506,1.455,2,94.0,entry=rsi2_next_open; setup_rsi2=1.61; raw_entry=open:4.2750; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=4.2400; filter_ma50=3.5144; filter_avg_value_10=32.59; filter_adr20=8.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,CCJ,2025-08-04,73.3745,70.6824,2.6921,2025-08-06,76.3936,rsi2_gt_50,140,10272.43,422.68,0.041147,1.1215,-0.1918,1.4987,2,90.0,entry=rsi2_next_open; setup_rsi2=0.72; raw_entry=open:73.3671; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=72.7883; filter_ma50=69.5135; filter_avg_value_10=371.40; filter_adr20=3.84; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,TRON,2025-08-06,6.9007,6.815,0.0857,2025-08-06,6.8143,same_day_stop_loss_red_candle,1496,10323.43,-129.21,-0.012516,-1.008,-5.3762,0.9956,0,99.0,entry=rsi2_next_open; setup_rsi2=3.20; raw_entry=open:6.9000; slippage_bps=1.0; decision_date=2025-08-05 00:00:00; filter_close=6.9450; filter_ma50=6.1191; filter_avg_value_10=36.31; filter_adr20=18.57; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,AVAV,2025-08-04,265.7466,251.34,14.4066,2025-08-08,251.3149,stop_loss,38,10098.37,-548.41,-0.054306,-1.0017,-1.5636,0.7464,4,92.0,entry=rsi2_next_open; setup_rsi2=1.66; raw_entry=open:265.7200; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=260.0700; filter_ma50=226.0664; filter_avg_value_10=257.01; filter_adr20=4.18; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,NEXT,2025-08-08,10.5311,10.4,0.1311,2025-08-08,10.399,same_day_stop_loss_red_candle,980,10320.43,-129.45,-0.012543,-1.0079,-1.9157,1.747,0,91.0,entry=rsi2_next_open; setup_rsi2=2.20; raw_entry=open:10.5300; slippage_bps=1.0; decision_date=2025-08-07 00:00:00; filter_close=10.4500; filter_ma50=9.6177; filter_avg_value_10=28.08; filter_adr20=5.59; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,TRON,2025-08-07,7.0107,6.44,0.5707,2025-08-11,6.4394,stop_loss,1473,10326.76,-841.59,-0.081496,-1.0011,-1.0175,0.8574,2,99.0,entry=rsi2_next_open; setup_rsi2=2.65; raw_entry=open:7.0100; slippage_bps=1.0; decision_date=2025-08-06 00:00:00; filter_close=6.8500; filter_ma50=6.2436; filter_avg_value_10=35.13; filter_adr20=18.19; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,NEXT,2025-08-11,10.411,10.28,0.131,2025-08-13,10.279,stop_loss,990,10306.93,-130.75,-0.012685,-1.0078,-3.1367,4.1129,2,90.0,entry=rsi2_next_open; setup_rsi2=1.63; raw_entry=open:10.4100; slippage_bps=1.0; decision_date=2025-08-08 00:00:00; filter_close=10.3400; filter_ma50=9.6709; filter_avg_value_10=28.73; filter_adr20=5.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,ASTS,2025-08-12,51.2401,45.46,5.7801,2025-08-13,50.045,rsi2_gt_50,201,10299.26,-240.22,-0.023324,-0.2068,-0.7128,0.737,1,93.0,entry=rsi2_next_open; setup_rsi2=3.18; raw_entry=open:51.2350; slippage_bps=1.0; decision_date=2025-08-11 00:00:00; filter_close=45.9200; filter_ma50=45.8957; filter_avg_value_10=417.79; filter_adr20=6.94; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,SBSW,2025-08-18,7.9598,7.8327,0.1271,2025-08-18,7.8319,same_day_stop_loss_red_candle,1296,10315.92,-165.77,-0.01607,-1.0062,-1.3822,0.0702,0,92.0,entry=rsi2_next_open; setup_rsi2=2.89; raw_entry=open:7.9590; slippage_bps=1.0; decision_date=2025-08-15 00:00:00; filter_close=7.8716; filter_ma50=7.7958; filter_avg_value_10=60.02; filter_adr20=3.45; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,AMPX,2025-08-18,7.0407,6.94,0.1007,2025-08-19,6.9393,stop_loss,1464,10307.59,-148.45,-0.014402,-1.0069,-3.5818,2.6741,1,98.0,entry=rsi2_next_open; setup_rsi2=4.74; raw_entry=open:7.0400; slippage_bps=1.0; decision_date=2025-08-15 00:00:00; filter_close=7.1100; filter_ma50=5.9342; filter_avg_value_10=78.08; filter_adr20=10.28; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,TLN,2025-08-20,364.1464,361.426,2.7204,2025-08-20,361.3899,same_day_stop_loss_red_candle,28,10196.1,-77.18,-0.00757,-1.0133,-4.8325,0.5784,0,94.0,entry=rsi2_next_open; setup_rsi2=3.70; raw_entry=open:364.1100; slippage_bps=1.0; decision_date=2025-08-19 00:00:00; filter_close=368.1600; filter_ma50=318.0625; filter_avg_value_10=325.42; filter_adr20=3.81; rs_bucket=rs90_100
