strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,AGX,2024-12-09,147.2958,135.0476,12.2483,2024-12-16,141.4784,hold_5d_open,364,53615.69,-2117.55,-0.039495,-0.475,-0.815,0.6042,5,94.0,entry=rsi2_next_open; setup_rsi2=2.99; raw_entry=open:147.2958; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=135.0475581684308; decision_date=2024-12-06 00:00:00; filter_close=145.5546; filter_ma50=132.6805; filter_avg_value_10=49.46; filter_adr20=6.28; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,ROOT,2024-12-13,77.49,75.078,2.412,2024-12-16,75.078,stop_loss,693,53700.57,-1671.51,-0.031127,-1.0,-1.1924,0.6567,1,94.0,entry=rsi2_next_open; setup_rsi2=3.15; raw_entry=open:77.4900; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=75.0780029296875; decision_date=2024-12-12 00:00:00; filter_close=76.2600; filter_ma50=69.1246; filter_avg_value_10=33.13; filter_adr20=10.18; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,SEZL,2024-12-16,51.7067,51.3367,0.37,2024-12-16,51.3367,same_day_stop_loss_red_candle,1057,54653.95,-391.09,-0.007156,-1.0,-4.6117,11.4855,0,97.0,entry=rsi2_next_open; setup_rsi2=0.64; raw_entry=open:51.7067; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=51.33666610717773; decision_date=2024-12-13 00:00:00; filter_close=51.5017; filter_ma50=48.9948; filter_avg_value_10=35.54; filter_adr20=9.32; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,ROOT,2024-12-16,75.55,75.1,0.45,2024-12-16,75.1,same_day_stop_loss_red_candle,726,54849.3,-326.7,-0.005956,-1.0,-2.08,7.831,0,94.0,entry=rsi2_next_open; setup_rsi2=3.78; raw_entry=open:75.5500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=75.0999984741211; decision_date=2024-12-13 00:00:00; filter_close=76.2900; filter_ma50=69.8692; filter_avg_value_10=33.88; filter_adr20=10.02; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,VST,2024-12-11,144.7127,138.1286,6.5841,2024-12-17,138.1286,stop_loss,370,53543.7,-2436.13,-0.045498,-1.0,-1.4819,0.5136,4,92.0,entry=rsi2_next_open; setup_rsi2=3.77; raw_entry=open:144.7127; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=138.12856284853495; decision_date=2024-12-10 00:00:00; filter_close=140.3299; filter_ma50=137.0090; filter_avg_value_10=726.12; filter_adr20=5.70; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,CVNA,2024-12-11,47.8,46.882,0.918,2024-12-18,46.882,stop_loss,1119,53488.2,-1027.24,-0.019205,-1.0,-1.4771,4.2462,5,94.0,entry=rsi2_next_open; setup_rsi2=2.64; raw_entry=open:47.8000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=46.88199996948242; decision_date=2024-12-10 00:00:00; filter_close=47.3040; filter_ma50=44.5595; filter_avg_value_10=510.67; filter_adr20=3.67; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,TPR,2024-12-11,60.6066,59.9588,0.6478,2024-12-18,62.4518,hold_5d_open,884,53576.23,1631.14,0.030445,2.8484,-0.6061,5.3333,5,90.0,entry=rsi2_next_open; setup_rsi2=4.79; raw_entry=open:60.6066; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=59.95880972124127; decision_date=2024-12-10 00:00:00; filter_close=60.2533; filter_ma50=50.7036; filter_avg_value_10=410.16; filter_adr20=2.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,HNST,2024-12-13,6.87,6.855,0.015,2024-12-18,6.855,stop_loss,7815,53689.05,-117.22,-0.002183,-1.0,-31.3336,41.3337,3,96.0,entry=rsi2_next_open; setup_rsi2=1.57; raw_entry=open:6.8700; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=6.855000019073486; decision_date=2024-12-12 00:00:00; filter_close=6.9500; filter_ma50=5.4452; filter_avg_value_10=25.67; filter_adr20=7.35; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,INOD,2024-12-16,34.87,34.21,0.66,2024-12-18,34.21,stop_loss,1567,54641.29,-1034.22,-0.018927,-1.0,-2.2121,7.5909,2,96.0,entry=rsi2_next_open; setup_rsi2=1.57; raw_entry=open:34.8700; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=34.209999084472656; decision_date=2024-12-13 00:00:00; filter_close=34.5000; filter_ma50=30.3670; filter_avg_value_10=94.62; filter_adr20=10.85; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,SFM,2024-12-18,138.24,137.76,0.48,2024-12-18,137.76,same_day_stop_loss_red_candle,384,53084.16,-184.32,-0.003472,-1.0,-8.6457,1.7083,0,90.0,entry=rsi2_next_open; setup_rsi2=3.83; raw_entry=open:138.2400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=137.75999450683594; decision_date=2024-12-17 00:00:00; filter_close=138.6000; filter_ma50=135.4394; filter_avg_value_10=175.11; filter_adr20=2.58; rs_bucket=rs90_100
