date,equity,cash_realized,open_positions,exposure,exposure_pct
2025-08-01,998663.8647491455,998794.7,1,9987.30020904541,0.010000662446672305
2025-08-04,999314.1156328854,998351.5,13,128798.62335789834,0.12888702495343782
2025-08-05,999116.380998644,998351.5,19,188442.89393803204,0.1886095529228319
2025-08-06,999223.448064684,995919.84,19,188560.89413925732,0.18870743526331957
2025-08-07,999193.2202644974,994750.3899999999,22,218487.7478976958,0.2186641617122459
2025-08-08,1001219.9480524418,993692.4199999998,30,298356.98667252786,0.297993450143385
2025-08-11,996075.2413363951,991519.1599999998,33,328186.73933420936,0.32947986830181025
2025-08-12,1009220.2700844205,990320.9199999998,35,348439.9660805497,0.34525660691635035
2025-08-13,1008145.9996927445,989863.4499999998,44,439087.7600704485,0.43553985256527383
2025-08-14,1004461.9622402292,985546.3199999998,38,379763.0425665943,0.37807608136759824
2025-08-15,1000763.9241785913,984953.0599999998,34,339861.81593186304,0.33960238545850396
2025-08-18,999581.8213136983,983066.6999999998,31,309907.0935088323,0.3100367442672552
2025-08-19,989841.651751967,982241.7899999998,24,239944.93355280804,0.24240739226129582
2025-08-20,985468.1244384157,982206.5699999998,12,119667.29760163644,0.12143193131673406
2025-08-21,986200.9265645288,981701.9399999998,14,138918.52310811274,0.14086229222278374
2025-08-22,993163.6858390116,981701.9399999998,19,188556.12235604518,0.18985402410958618
2025-08-25,989573.4141606463,979893.3599999999,24,237319.60787243466,0.23982011286522745
2025-08-26,994837.9820686849,979212.0799999998,33,326580.4852494493,0.32827504692809545
2025-08-27,988436.1566829908,978605.3099999999,37,364808.5704851495,0.3690765134587748
2025-08-28,991313.0011934411,976700.6199999999,40,394681.04648562067,0.3981396854580384
2025-08-29,991003.585686525,975727.7899999998,39,385079.48585386865,0.38857526997452996
2025-09-02,989936.1928278859,967604.2799999998,22,217425.74688395168,0.21963612246850556
2025-09-03,991750.1618735249,967604.2799999998,24,237200.12688597347,0.23917326762808527
2025-09-04,995121.9225959635,967549.6799999998,32,316333.30004758347,0.31788396262275914
2025-09-05,1004185.8109529454,967985.3699999998,35,346305.9314611666,0.34486240263894147
2025-09-08,1005096.2921733501,967824.9699999997,38,375983.8347851105,0.37407742692206064
2025-09-09,1008327.7233159236,966501.8499999999,38,376139.1443315811,0.37303263178625434
2025-09-10,1012446.7984174994,965457.3099999998,39,386785.61696303554,0.3820305595983899
2025-09-11,1031059.0271593742,965950.0499999998,40,397920.3549238509,0.38593363177290047
2025-09-12,1025916.1566105407,966835.5099999999,39,389056.01773365075,0.37922788838712534
2025-09-15,1036685.6622305197,967871.11,37,369810.0983305746,0.3567234618976941
2025-09-16,1031273.1884624572,967290.29,39,390428.4688559347,0.37858879026810655
2025-09-17,1036976.2287530387,967634.13,37,372813.46523052093,0.3595197796181193
2025-09-18,1046452.8167348871,971273.26,39,394649.45040527254,0.37713066857294797
2025-09-19,1053260.8974142943,971020.0,45,457343.9307157126,0.43421713636048803
