date,ticker,rs_rank,rs_score,close,volume
2026-05-11,AIXI,99.0,182.09609109543095,11.729999542236328,414400.0
2026-05-11,AKAN,99.0,80.3343993743913,24.790000915527344,256600.0
2026-05-11,ASBP,99.0,44.393635880498714,5.519999980926514,249700.0
2026-05-11,AGL,99.0,39.46577887761452,59.61000061035156,703800.0
2026-05-11,AEHR,99.0,33.28316985934951,104.55999755859376,3005300.0
2026-05-11,AAOI,98.0,32.438101081865376,184.8999938964844,16660000.0
2026-05-11,ANL,98.0,31.922243292227144,12.960000038146973,187300.0
2026-05-11,ANTX,98.0,26.365179418101963,4.71999979019165,213700.0
2026-05-11,ARTV,98.0,24.54765516098969,10.600000381469728,864800.0
2026-05-11,AMD,98.0,24.12267991640054,458.7900085449219,46085400.0
2026-05-11,AIP,97.0,23.334360831684915,33.130001068115234,1024000.0
2026-05-11,ALMU,97.0,23.293940061270227,28.18000030517578,2061200.0
2026-05-11,ATOM,97.0,22.031644363908264,8.279999732971191,2285300.0
2026-05-11,AP,97.0,21.643437054757563,11.859999656677246,168100.0
2026-05-11,ANAB,97.0,21.57832740243867,67.91999816894531,504100.0
2026-05-11,ANDG,96.0,21.548225041961473,36.650001525878906,207100.0
2026-05-11,ASYS,96.0,21.458100458128087,22.68000030517578,626100.0
2026-05-11,ABSI,96.0,21.043017155378404,5.78000020980835,6371100.0
2026-05-11,AVNS,96.0,19.32845340181788,24.809999465942383,789000.0
2026-05-11,ATEX,96.0,18.951243514189834,55.720001220703125,479300.0
2026-05-11,ASX,95.0,18.582206298411787,35.29999923706055,8256400.0
2026-05-11,ACLS,95.0,17.23824954864713,165.0800018310547,639100.0
2026-05-11,ANRO,95.0,17.196982320413525,24.530000686645508,389400.0
2026-05-11,APLD,95.0,17.037749916018,44.59000015258789,27374400.0
2026-05-11,AMKR,95.0,16.45201994478692,76.69000244140625,3708600.0
2026-05-11,AKAM,94.0,15.999140267298323,153.00999450683594,9873900.0
2026-05-11,ALTO,94.0,15.978157340846938,4.900000095367432,2996000.0
2026-05-11,ALM,94.0,15.867979478645108,20.920000076293945,5778900.0
2026-05-11,AGX,94.0,15.481615592301829,683.52001953125,381200.0
2026-05-11,ASRT,94.0,15.282560424272603,22.36000061035156,267800.0
2026-05-11,AMSC,93.0,15.062001388039468,58.720001220703125,1749700.0
2026-05-11,AGCC,93.0,14.566256888938089,18.799999237060547,41800.0
2026-05-11,AMN,93.0,14.452527245463537,30.270000457763672,3478900.0
2026-05-11,ALMS,93.0,14.423280296176324,23.65999984741211,962700.0
2026-05-11,AMBQ,93.0,14.377029631006566,45.66999816894531,939300.0
2026-05-11,AESI,92.0,14.323875286193836,18.84000015258789,3236100.0
2026-05-11,AOSL,92.0,14.212154186345819,38.619998931884766,937300.0
2026-05-11,AUR,92.0,13.720990302050684,7.260000228881836,31520900.0
2026-05-11,ACRS,92.0,13.607574849186946,4.949999809265137,1814300.0
2026-05-11,AGPU,92.0,13.308263969405806,6.659999847412109,516100.0
2026-05-11,ADEA,91.0,13.073301809026102,31.84000015258789,5596620.0
2026-05-11,AAON,91.0,12.838763280958457,141.6999969482422,1399200.0
2026-05-11,ARM,91.0,12.726444571811754,212.6499938964844,10549500.0
2026-05-11,ARWR,91.0,12.625462232783754,77.73999786376953,2290000.0
2026-05-11,AMWL,91.0,12.421715217934471,8.149999618530273,71100.0
2026-05-11,ALB,90.0,12.32588459607878,209.9900054931641,2811300.0
2026-05-11,AVTX,90.0,12.103009464336822,20.25,2881500.0
2026-05-11,APLS,90.0,12.054538804901236,41.02000045776367,9021713.0
2026-05-11,ACMR,90.0,11.643000797640429,64.66999816894531,2013500.0
2026-05-11,ATER,90.0,11.13952390257517,1.1200000047683716,415200.0
2026-05-12,AIXI,99.0,180.0226576305212,11.979999542236328,273600.0
2026-05-12,AKAN,99.0,75.17928480162101,25.489999771118164,181900.0
2026-05-12,AGL,99.0,46.16311776946389,69.54000091552734,670900.0
2026-05-12,ASBP,99.0,38.39688327357602,5.170000076293945,169700.0
2026-05-12,AAOI,99.0,33.352549665460636,188.27999877929688,16391200.0
2026-05-12,AMBQ,98.0,32.37474690361866,66.37000274658203,3013100.0
2026-05-12,ANL,98.0,31.04369554699144,13.149999618530272,133900.0
2026-05-12,AEHR,98.0,30.714928566713205,96.72000122070312,3683100.0
2026-05-12,ARTV,98.0,23.956133567235582,10.630000114440918,529500.0
2026-05-12,AMD,98.0,23.405493816900766,448.2900085449219,39140100.0
2026-05-12,AIP,97.0,22.572065009302303,32.43000030517578,1264700.0
2026-05-12,ANTX,97.0,22.41833438401155,4.269999980926514,189000.0
2026-05-12,ATOM,97.0,21.764991425157643,8.350000381469727,1717300.0
2026-05-12,ANAB,97.0,20.610702893334302,65.58000183105469,853900.0
2026-05-12,ANDG,97.0,19.58676730244367,36.380001068115234,516200.0
2026-05-12,AVNS,96.0,18.77437211573788,24.729999542236328,1575400.0
2026-05-12,ABSI,96.0,18.72147813834709,5.355000019073486,4078800.0
2026-05-12,ATEX,96.0,17.99710518615764,54.25,348500.0
2026-05-12,AGCC,96.0,17.67894261095263,19.26000022888184,49400.0
2026-05-12,AP,96.0,17.605568265536,10.619999885559082,328900.0
2026-05-12,ASYS,95.0,17.476637256089713,20.959999084472656,447700.0
2026-05-12,ASX,95.0,16.980071535526207,34.279998779296875,9871000.0
2026-05-12,ALM,95.0,16.717327158828255,22.1200008392334,5014000.0
2026-05-12,ANRO,95.0,16.49250302284601,24.6299991607666,206900.0
2026-05-12,ACLS,95.0,16.321742685889255,161.63999938964844,751700.0
2026-05-12,ALMU,94.0,15.868779215402876,27.11000061035156,1670300.0
2026-05-12,ASRT,94.0,15.67425543857418,22.549999237060547,111000.0
2026-05-12,AGX,94.0,15.605513069026516,681.010009765625,266000.0
2026-05-12,APLD,94.0,15.605300268720104,43.93000030517578,20248300.0
2026-05-12,AGPU,94.0,15.369953796349419,6.659999847412109,288800.0
2026-05-12,AMKR,93.0,14.879347712580449,73.44999694824219,3416700.0
2026-05-12,AKAM,93.0,14.630861063651125,149.55999755859375,6552000.0
2026-05-12,ALMS,93.0,14.416479425346093,23.51000022888184,602400.0
2026-05-12,ACRS,93.0,13.7788660506353,4.880000114440918,948900.0
2026-05-12,ALTO,93.0,13.617667112631992,4.619999885559082,3654100.0
2026-05-12,ARWR,92.0,13.562459140945338,79.04000091552734,1544500.0
2026-05-12,AMN,92.0,13.46218651478443,29.46999931335449,1604500.0
2026-05-12,ACHV,92.0,13.338048762529676,5.989999771118164,2833200.0
2026-05-12,AUR,92.0,13.159833656968308,7.21999979019165,25230900.0
2026-05-12,AOSL,92.0,12.92598976438697,37.720001220703125,1000400.0
2026-05-12,AESI,91.0,12.788980768737407,18.280000686645508,3900500.0
2026-05-12,ADEA,91.0,12.567959343327193,31.18000030517578,3001977.0
2026-05-12,APLS,91.0,12.4110422170827,41.060001373291016,7931662.0
2026-05-12,AMSC,91.0,12.327815986696194,54.5099983215332,1314800.0
2026-05-12,APC,91.0,12.257598922275726,21.549999237060547,444800.0
2026-05-12,AVTX,90.0,11.97705019499884,19.940000534057617,1708400.0
2026-05-12,ASTH,90.0,11.728974881379544,39.0099983215332,601500.0
2026-05-12,ARM,90.0,11.487958525701906,207.9199981689453,7839600.0
2026-05-12,AAON,90.0,11.226668985647263,133.66000366210938,1751700.0
2026-05-12,AMPX,90.0,11.087091867442007,18.82999992370605,10461300.0
2026-05-13,AIXI,99.0,181.56820154764418,10.770000457763672,245100.0
2026-05-13,AKAN,99.0,71.82075768668771,24.30500030517578,111200.0
2026-05-13,AGL,99.0,47.82419289179171,72.01000213623047,542600.0
2026-05-13,AAOI,99.0,40.51799610405535,223.1000061035156,18450400.0
2026-05-13,ASBP,99.0,40.06033078957301,5.300000190734863,113200.0
2026-05-13,AMBQ,98.0,35.762284707874024,71.29000091552734,1676300.0
2026-05-13,AEHR,98.0,31.88697497258041,103.25,3249600.0
2026-05-13,ANL,98.0,31.05288739075996,13.9399995803833,42100.0
2026-05-13,ATOM,98.0,29.65898895259288,9.890000343322754,3159700.0
2026-05-13,AIP,98.0,25.405839290077942,35.54999923706055,2988700.0
2026-05-13,ARTV,97.0,23.599738612071334,10.5,445900.0
2026-05-13,ANTX,97.0,23.38514777021824,4.309999942779541,263400.0
2026-05-13,AMD,97.0,22.802572253255935,445.5,30423400.0
2026-05-13,ALMU,97.0,22.311470004766218,31.489999771118164,2971300.0
2026-05-13,AP,97.0,18.9894432410496,11.220000267028809,170500.0
2026-05-13,AGCC,96.0,18.970101498435056,19.780000686645508,9300.0
2026-05-13,ANAB,96.0,18.421675344713883,62.685001373291016,844300.0
2026-05-13,ANDG,96.0,18.312107680637705,35.5,405400.0
2026-05-13,ATEX,96.0,17.934085603236046,55.290000915527344,331200.0
2026-05-13,ASYS,96.0,17.861622469512266,20.709999084472656,271100.0
2026-05-13,AKAM,95.0,17.79266112485772,161.13999938964844,10932200.0
2026-05-13,AUR,95.0,17.60942401812411,8.399999618530273,58469900.0
2026-05-13,ASX,95.0,17.519254297337643,35.470001220703125,6657700.0
2026-05-13,ABSI,95.0,17.31905086977418,5.300000190734863,3481400.0
2026-05-13,AGX,95.0,16.625270426805454,719.9199829101562,279800.0
2026-05-13,ASRT,94.0,16.531910243125004,23.31999969482422,1394800.0
2026-05-13,ACLS,94.0,16.106457383387543,162.14999389648438,572700.0
2026-05-13,ALMS,94.0,15.53086069513113,24.86000061035156,841700.0
2026-05-13,ACRS,94.0,15.354645171006704,5.090000152587891,2245800.0
2026-05-13,AMN,94.0,15.1238973349531,30.8700008392334,1311900.0
2026-05-13,APLD,93.0,15.012988854100648,45.47999954223633,15283300.0
2026-05-13,AEHL,93.0,14.801172123024879,3.619999885559082,81038500.0
2026-05-13,AMKR,93.0,14.752859490320388,74.61000061035156,3325600.0
2026-05-13,AOSL,93.0,14.617451047992121,41.59000015258789,1458000.0
2026-05-13,AIRS,93.0,14.346423413509617,4.659999847412109,1555100.0
2026-05-13,ANRO,92.0,13.915960770274207,22.850000381469727,416700.0
2026-05-13,ATRA,92.0,13.79483286523394,10.479999542236328,746700.0
2026-05-13,AESI,92.0,13.455210781375937,18.950000762939453,3176700.0
2026-05-13,ALTO,92.0,13.389794381996586,4.590000152587891,2415100.0
2026-05-13,AGPU,92.0,13.333287591748302,6.480000019073486,347800.0
2026-05-13,ARM,91.0,13.236645194402893,221.2100067138672,8700000.0
2026-05-13,ALM,91.0,13.13610625300425,19.530000686645508,5516700.0
2026-05-13,ACHV,91.0,13.070474939895197,5.960000038146973,1312200.0
2026-05-13,AVNS,91.0,12.77223588813313,24.71999931335449,938400.0
2026-05-13,ADEA,91.0,12.684958410039847,31.71999931335449,3939263.0
2026-05-13,APLS,90.0,12.620052066404,41.02999877929688,68611411.0
2026-05-13,ARWR,90.0,12.563147822757973,77.87999725341797,2120800.0
2026-05-13,ASTH,90.0,12.242981851057355,39.7599983215332,606800.0
2026-05-13,AMSC,90.0,12.000207489330851,55.72999954223633,977300.0
2026-05-13,AVTX,90.0,11.679948934908042,19.850000381469727,1565200.0
2026-05-14,AIXI,99.0,197.2859030857981,12.140000343322754,299100.0
2026-05-14,ASBP,99.0,96.58929253205459,5.869999885559082,203300.0
2026-05-14,AKAN,99.0,72.016645699454,24.899999618530277,129100.0
2026-05-14,AIIO,99.0,63.995294092854934,5.639999866485596,166489500.0
2026-05-14,AGL,99.0,48.53088197817602,78.48999786376953,442400.0
2026-05-14,AEHL,98.0,40.132660008499194,4.53000020980835,39537500.0
2026-05-14,AAOI,98.0,37.75758709203798,203.57000732421875,12104000.0
2026-05-14,AMBQ,98.0,35.913014427362896,73.30000305175781,1095200.0
2026-05-14,AEHR,98.0,33.41329324889541,106.33999633789062,2113000.0
2026-05-14,ANL,98.0,31.666728928166105,13.859999656677246,122200.0
2026-05-14,ATOM,97.0,28.237900943497806,9.630000114440918,1813300.0
2026-05-14,AIP,97.0,26.717161932577145,37.34000015258789,1684100.0
2026-05-14,ANTX,97.0,24.890135878725296,4.639999866485596,295900.0
2026-05-14,AMD,97.0,22.7302928584875,449.7000122070313,26113600.0
2026-05-14,ARTV,97.0,22.08071342525487,10.68000030517578,389600.0
2026-05-14,ASYS,96.0,20.614322340686275,22.459999084472656,336200.0
2026-05-14,AP,96.0,20.393043082865876,11.5,116000.0
2026-05-14,ATEX,96.0,18.970666553094198,56.619998931884766,252700.0
2026-05-14,ABSI,96.0,18.95526475254806,5.539999961853027,5266000.0
2026-05-14,ANAB,96.0,18.512304977242998,62.18999862670898,469500.0
2026-05-14,AGX,95.0,17.16935210707397,740.9099731445312,250700.0
2026-05-14,ASX,95.0,17.11070672669006,35.25,5835000.0
2026-05-14,AGCC,95.0,16.54600725417169,18.700000762939453,29800.0
2026-05-14,AKAM,95.0,16.13066704861125,155.6699981689453,4079300.0
2026-05-14,APLD,95.0,16.069632843975015,46.709999084472656,16359300.0
