strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,BBAI,2025-07-31,6.61,6.28,0.33,2025-08-01,6.045,stop_loss,1523,10067.03,-860.5,-0.085477,-1.712122,-1.818182,0.60606,1,95.0,setup_rsi2=3.20; next_open_entry; avg_value_10=579.3610M; adr20=9.9925; close=6.3500; ma50=5.5750
rsi2,BKSY,2025-07-31,18.5,18.26,0.24,2025-08-01,18.26,stop_loss,544,10064.0,-130.56,-0.012973,-1.0,-2.375001,5.000008,1,95.0,setup_rsi2=2.16; next_open_entry; avg_value_10=64.1294M; adr20=8.7396; close=19.2400; ma50=17.0590
rsi2,KC,2025-07-31,14.65,13.61,1.04,2025-08-01,13.61,stop_loss,691,10123.15,-718.64,-0.07099,-1.0,-1.394231,0.197115,1,92.0,setup_rsi2=2.91; next_open_entry; avg_value_10=34.2228M; adr20=3.7743; close=14.4800; ma50=13.0663
rsi2,CIFR,2025-07-31,5.61,5.3,0.31,2025-08-01,5.032,stop_loss,1804,10120.44,-1042.71,-0.10303,-1.864517,-2.225807,0.419354,1,91.0,setup_rsi2=1.93; next_open_entry; avg_value_10=191.2675M; adr20=8.9435; close=5.4600; ma50=4.7718
rsi2,SBSW,2025-08-01,8.172813,8.065915,0.106897,2025-08-01,8.065915,same_day_stop_loss,1227,10028.04,-131.16,-0.01308,-1.0,-2.454545,0.272725,0,95.0,setup_rsi2=0.81; next_open_entry; avg_value_10=89.4532M; adr20=3.5830; close=8.0465; ma50=7.2928
rsi2,EOSE,2025-08-01,5.47,5.41,0.06,2025-08-01,5.41,same_day_stop_loss,1833,10026.51,-109.98,-0.010969,-1.0,-3.333333,2.833337,0,90.0,setup_rsi2=3.00; next_open_entry; avg_value_10=93.8631M; adr20=8.9815; close=5.5100; ma50=4.9927
rsi2,FFAI,2025-08-01,2.215,2.072,0.143,2025-08-01,2.072,same_day_stop_loss,4527,10027.3,-647.36,-0.06456,-1.0,-1.503497,0.0,0,90.0,setup_rsi2=4.45; next_open_entry; avg_value_10=97.1411M; adr20=17.4388; close=2.0100; ma50=1.7516
rsi2,BTCS,2025-08-04,4.005199,3.945863,0.059336,2025-08-04,3.945863,same_day_stop_loss,2517,10081.09,-149.35,-0.014815,-1.0,-2.333329,3.833323,0,97.0,setup_rsi2=0.85; next_open_entry; avg_value_10=33.2792M; adr20=21.3571; close=4.0448; ma50=3.5396
rsi2,CAR,2025-08-04,165.25,159.649994,5.600006,2025-08-04,159.649994,same_day_stop_loss,61,10080.25,-341.6,-0.033888,-1.0,-1.207141,0.071427,0,92.0,setup_rsi2=0.65; next_open_entry; avg_value_10=283.4071M; adr20=4.8845; close=160.4600; ma50=159.5602
rsi2,LEU,2025-08-04,212.0,192.940002,19.059998,2025-08-05,208.0,pivot_low_break,47,9964.0,-188.0,-0.018868,-0.209864,-0.703043,0.365163,1,98.0,setup_rsi2=4.13; next_open_entry; avg_value_10=246.8952M; adr20=7.7881; close=210.0500; ma50=180.8964
