date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2024-05-21,999796.58,999796.58,0,0.0,0.0
2024-05-22,1000277.7444434045,999796.58,2,19959.5056758811,0.0199539635733747
2024-05-23,999070.1826868303,999338.73,4,39752.878210500974,0.03978987552565359
2024-05-24,1001265.4612543897,999034.2599999999,7,69750.4842610139,0.06966232928241646
2024-05-28,1001619.2099999998,1001619.2099999998,0,0.0,0.0
2024-05-29,1001619.2099999998,1001619.2099999998,0,0.0,0.0
2024-05-30,1001375.665309004,1001439.7999999998,1,9954.01487898407,0.009940340297676861
2024-05-31,1001669.1880812027,1001262.5099999998,3,29919.281193089104,0.029869423507378194
2024-06-03,1000394.9314338012,1000538.8199999997,4,39947.73450392737,0.03993196411608451
2024-06-04,999761.2088379929,999381.5199999996,2,19996.54965687976,0.02000132579670844
2024-06-05,1003118.0335256852,999546.1599999996,14,139842.4491833979,0.13940777107943117
2024-06-06,1001907.4685836763,999930.3799999997,13,129866.61055401104,0.1296193656861287
2024-06-07,997239.1082784042,997514.3699999996,1,10011.491310580874,0.010039208478159598
2024-06-10,997375.2499999997,997375.2499999997,0,0.0,0.0
2024-06-11,997419.1490812863,997375.2499999997,1,9908.951123181152,0.009934590821028648
2024-06-12,997797.4134919094,997375.2499999997,2,19859.986624057005,0.019903826523817742
2024-06-13,997714.6440474635,997609.0799999996,1,9951.035500875854,0.009973829250924035
2024-06-14,997596.7299999996,997596.7299999996,0,0.0,0.0
2024-06-17,997247.2199999996,997247.2199999996,0,0.0,0.0
2024-06-18,997004.2470121216,996955.3299999996,1,9933.082987878035,0.009962929463586597
2024-06-20,997166.3838912197,996695.1699999997,5,49772.11614875792,0.04991355199373381
2024-06-21,998261.2966103436,996483.0099999997,8,79546.2540772171,0.079684802313103
2024-06-24,997418.5650070675,997451.2099999996,6,59466.73965845947,0.059620646481588296
2024-06-25,999257.8267644143,997185.2199999996,11,109355.90708055225,0.10943712838822134
2024-06-26,999397.4583620717,997430.5899999996,7,69658.51518046565,0.06970051264151711
2024-06-27,998576.3999282223,998495.3499999996,2,19922.00222441101,0.01995040362043706
2024-06-28,998275.8032201629,998076.4799999996,2,19936.84566411411,0.019971280080918856
2024-07-01,999805.6835779691,997805.1599999996,5,49869.67636271191,0.04987936874317924
2024-07-02,1001189.4789482437,998292.1499999996,4,39911.50118424034,0.03986408369589305
2024-07-03,1000876.05958811,1000440.5199999996,1,10002.0001,0.00999324542153213
2024-07-05,1001972.0034349979,1000876.4799999995,1,9964.476565001678,0.00994486525655516
2024-07-08,1001847.9239171756,1000744.4999999995,1,9964.476565001678,0.009946096934593696
2024-07-09,1002092.4384090644,1001746.3899999994,1,10012.050653854643,0.009991144798727262
2024-07-10,1002006.6487479224,1001547.5099999994,2,19979.047253854642,0.01993903661100439
2024-07-11,1001964.056299944,1001412.0399999995,5,49859.56737925476,0.049761832338952684
2024-07-12,1002375.446530312,1001183.1899999995,5,49843.54597136597,0.049725425880988695
2024-07-15,1003504.2535605105,1002710.7599999994,2,19967.056679051973,0.019897331384702472
2024-07-16,1003483.2419987703,1003185.4299999994,2,19885.388082100675,0.01981636289460332
2024-07-17,1002386.7699999993,1002386.7699999993,0,0.0,0.0
2024-07-18,1001499.8899999993,1001499.8899999993,0,0.0,0.0
2024-07-19,1001326.5396510797,1001341.3999999993,1,10003.720425823973,0.009990467674321156
2024-07-22,1000571.6594203667,1000680.5999999993,1,10003.720425823973,0.0099980049720968
2024-07-23,1000733.6604397652,1000439.6399999993,1,9995.91976485443,0.009988591530399602
2024-07-24,1000098.9204056618,1000439.6399999993,1,9995.91976485443,0.009994931062219194
2024-07-25,999576.2376719989,999524.8999999993,2,19966.72239994564,0.019975187131746848
2024-07-26,1000461.0192755813,998832.9399999994,4,39949.02020790806,0.03993061142635476
2024-07-29,997959.9219714564,998349.8799999994,1,9979.537679421997,0.009999938333903786
2024-07-30,997462.7999999995,997462.7999999995,0,0.0,0.0
2024-07-31,997415.4336329664,997383.8699999994,1,9964.356149671556,0.009990176423656872
2024-08-01,996974.4782689069,997218.8699999994,3,29833.742334196093,0.02992427889026588
2024-08-02,996067.7340200342,996757.4799999994,1,9960.795632064819,0.010000118758855887
2024-08-05,995543.4099999995,995543.4099999995,0,0.0,0.0
2024-08-06,998263.2787655139,995543.4099999995,23,228334.80284245676,0.22873204664487237
2024-08-07,994378.418506927,994627.7399999994,22,218380.2570342254,0.21961483975298496
2024-08-08,996501.4281874569,996390.4199999995,7,69388.23332102648,0.06963184533236164
2024-08-09,996461.0756506658,996269.3999999994,6,59427.19087307634,0.05963824611440218
2024-08-12,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-13,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-14,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-15,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-16,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-19,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-20,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-21,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-22,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-23,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-26,995954.6899999995,995954.6899999995,0,0.0,0.0
2024-08-27,996033.0967429439,995954.6899999995,1,9734.203059301757,0.00977297149174347
2024-08-28,995926.6572702876,995874.7099999995,1,9734.203059301757,0.00977401597621858
2024-08-29,996080.737063608,995968.3299999995,1,9931.592936391451,0.009970670616188452
2024-08-30,995682.6469152926,995414.7199999995,1,9931.592936391451,0.0099746570527872
2024-09-03,995334.3299999995,995334.3299999995,0,0.0,0.0
2024-09-04,995971.4563387522,995292.9999999995,3,29833.163530956408,0.029953833858477046
2024-09-05,994299.5252333016,994519.9999999995,1,9950.755080666684,0.010007804316643767
2024-09-06,993158.5599999995,993158.5599999995,0,0.0,0.0
2024-09-09,992635.4349568248,992624.1099999995,2,19748.77483565521,0.019895295029956486
