date,equity,cash_realized,open_positions,exposure,exposure_pct
2022-05-23,999753.6023852808,1000000.0,17,169407.22541165526,0.1694489772354627
2022-05-24,999387.7785355268,998083.2599999999,15,149448.91763552793,0.14954046952077596
2022-05-25,1001535.7908407629,998083.2599999999,26,259109.2577925836,0.2587119303795107
2022-05-26,1006761.6124096136,997620.4199999999,39,389781.2345112772,0.38716338575759063
2022-05-27,1013553.0883104969,997228.09,44,440200.442829678,0.4343141448697602
2022-05-31,1007027.749214938,995571.6699999999,39,390071.22659599024,0.3873490347213205
2022-06-01,1010522.844010005,994931.2599999999,43,430616.2389451265,0.42613211714871735
2022-06-02,1013280.4855167171,995042.2399999999,47,471492.2746945026,0.4653126961722425
2022-06-03,1014882.2540571293,994743.6399999998,43,431419.4387287439,0.42509309528675493
2022-06-06,1017851.8401721696,994450.5399999999,51,513109.0255772276,0.5041097390858331
2022-06-07,1030459.568079993,993998.0199999999,51,513771.9132961969,0.49858522275986433
2022-06-08,1022895.1352583395,994153.39,45,453705.2706890023,0.44355013045830527
2022-06-09,1013070.8814586136,993246.4000000001,30,302019.6028385668,0.2981228740912193
2022-06-10,1007341.1254046577,997924.1000000003,10,100749.21169022181,0.10001498911279928
2022-06-13,1002573.7500000005,1002573.7500000005,0,0.0,0.0
2022-06-14,1002573.7500000005,1002573.7500000005,0,0.0,0.0
2022-06-15,1002573.7500000005,1002573.7500000005,0,0.0,0.0
2022-06-16,1002573.7500000005,1002573.7500000005,0,0.0,0.0
2022-06-17,1002573.7500000005,1002573.7500000005,0,0.0,0.0
2022-06-21,1001988.933099125,1002573.7500000005,8,79911.8953482173,0.0797532714269128
2022-06-22,1001389.2286040044,1001211.4800000006,7,69760.20071774308,0.06966342229883271
2022-06-23,1004519.7111175625,1001211.4800000006,12,119923.09783618103,0.11938351881892141
2022-06-24,1005125.64982644,1000679.3300000005,18,179998.24833123336,0.17908034519098637
2022-06-27,1002880.2363706317,998141.9900000006,18,179595.75089184672,0.17907995828274953
2022-06-28,999956.4612072054,996814.0200000005,15,149491.77685138112,0.14949828582627084
2022-06-29,1000061.4041719293,994938.4400000005,14,137748.5858482891,0.137740128029786
2022-06-30,996916.6518187544,993895.3000000005,9,89569.02465419607,0.08984605131310443
2022-07-01,996600.6045381101,993965.2500000006,10,99342.77003655172,0.09968162730805653
2022-07-05,995103.3899108892,994864.4500000005,4,39795.559799194336,0.039991382003791584
2022-07-06,994872.5548870751,994743.2500000006,12,118540.57334015933,0.11915151619959453
2022-07-07,996540.6796285438,994624.3000000006,29,287177.06444990216,0.2881739504672766
2022-07-08,995147.2815292015,993346.8700000007,28,276168.2218822066,0.27751492367826236
2022-07-11,991586.4850457044,990852.2200000007,21,206496.91520255682,0.20824902145881802
2022-07-12,989679.0813155799,989153.6500000007,13,128408.1635864594,0.12974727465772692
2022-07-13,988545.6115473955,987947.1000000007,7,69159.37968032731,0.06996073713995896
2022-07-14,986774.4397515876,986999.2100000007,2,19716.670389175415,0.019980929374436296
2022-07-15,985514.7707743794,986288.0000000007,11,107781.92292974962,0.10936611619231111
2022-07-18,983175.3065873204,984701.7100000007,15,146678.9357574984,0.14918899485650494
2022-07-19,984843.2267809501,983512.2600000007,20,194269.02259321144,0.19725882994412974
2022-07-20,984864.9890817573,982516.6800000006,19,186060.26741246023,0.18891956712354477
