strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_1_day_low_no_stop,NNOX,2023-06-27,15.3115,,,2023-07-03,15.4695,1_day_low,2655,40652.12,419.28,0.010314,,,,4,96.0,entry=rsi2_next_open; setup_rsi2=0.89; raw_entry=open:15.3100; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-26 00:00:00; filter_close=15.2200; filter_ma50=15.0282; filter_avg_value_10=31.70; filter_adr20=9.42; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,FCNCA,2023-06-27,1178.6944,,,2023-07-03,1261.3457,1_day_low,34,40075.61,2810.14,0.070121,,,,4,91.0,entry=rsi2_next_open; setup_rsi2=1.15; raw_entry=open:1178.5765; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-26 00:00:00; filter_close=1176.7656; filter_ma50=1165.4616; filter_avg_value_10=154.90; filter_adr20=2.86; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,SYM,2023-06-26,39.5039,,,2023-07-05,42.4458,1_day_low,1023,40412.54,3009.47,0.074469,,,,7,99.0,entry=rsi2_next_open; setup_rsi2=4.22; raw_entry=open:39.5000; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-23 00:00:00; filter_close=39.5100; filter_ma50=33.1284; filter_avg_value_10=68.88; filter_adr20=10.93; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,AVGO,2023-06-26,79.7111,,,2023-07-05,83.5514,1_day_low,501,39935.24,1924.01,0.048178,,,,7,94.0,entry=rsi2_next_open; setup_rsi2=2.64; raw_entry=open:79.7031; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-23 00:00:00; filter_close=79.4278; filter_ma50=68.3979; filter_avg_value_10=3022.96; filter_adr20=3.96; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,TEX,2023-06-26,53.9514,,,2023-07-05,57.5476,1_day_low,740,39924.06,2661.17,0.066656,,,,7,90.0,entry=rsi2_next_open; setup_rsi2=3.34; raw_entry=open:53.9460; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-23 00:00:00; filter_close=53.8014; filter_ma50=47.6246; filter_avg_value_10=46.24; filter_adr20=3.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,NVDA,2023-06-27,40.7712,,,2023-07-05,42.0979,1_day_low,994,40526.58,1318.71,0.032539,,,,6,98.0,entry=rsi2_next_open; setup_rsi2=4.33; raw_entry=open:40.7671; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-26 00:00:00; filter_close=40.6003; filter_ma50=33.4772; filter_avg_value_10=22515.67; filter_adr20=3.81; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,YEXT,2023-06-28,10.5111,,,2023-07-05,11.1389,1_day_low,4057,42643.33,2547.13,0.059731,,,,5,95.0,entry=rsi2_next_open; setup_rsi2=0.55; raw_entry=open:10.5100; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-27 00:00:00; filter_close=10.6300; filter_ma50=9.6048; filter_avg_value_10=26.96; filter_adr20=6.24; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,MVIS,2023-06-28,3.7104,,,2023-07-05,4.3896,1_day_low,11509,42702.66,7816.8,0.183052,,,,5,93.0,entry=rsi2_next_open; setup_rsi2=1.70; raw_entry=open:3.7100; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-27 00:00:00; filter_close=3.8900; filter_ma50=3.6572; filter_avg_value_10=42.42; filter_adr20=13.15; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,APPF,2023-06-26,165.1465,,,2023-07-06,170.183,1_day_low,242,39965.46,1218.82,0.030497,,,,8,93.0,entry=rsi2_next_open; setup_rsi2=3.30; raw_entry=open:165.1300; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-23 00:00:00; filter_close=166.0200; filter_ma50=146.0366; filter_avg_value_10=26.77; filter_adr20=3.92; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,CCL,2023-06-27,14.5942,,,2023-07-06,18.5977,1_day_low,2781,40586.5,11133.74,0.274321,,,,7,96.0,entry=rsi2_next_open; setup_rsi2=3.30; raw_entry=open:14.5928; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-26 00:00:00; filter_close=14.4444; filter_ma50=11.4298; filter_avg_value_10=933.48; filter_adr20=4.35; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,CUK,2023-06-27,13.1799,,,2023-07-06,16.8896,1_day_low,3091,40739.04,11466.64,0.281466,,,,7,96.0,entry=rsi2_next_open; setup_rsi2=2.71; raw_entry=open:13.1786; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-26 00:00:00; filter_close=12.9198; filter_ma50=10.3006; filter_avg_value_10=35.71; filter_adr20=4.11; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,EXTR,2023-06-27,23.0123,,,2023-07-06,25.8374,1_day_low,1772,40777.8,5006.1,0.122765,,,,7,94.0,entry=rsi2_next_open; setup_rsi2=4.74; raw_entry=open:23.0100; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-26 00:00:00; filter_close=22.9300; filter_ma50=19.4422; filter_avg_value_10=54.71; filter_adr20=3.53; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,GLBE,2023-06-27,37.0637,,,2023-07-07,42.1758,1_day_low,1100,40770.08,5623.28,0.137927,,,,8,91.0,entry=rsi2_next_open; setup_rsi2=4.79; raw_entry=open:37.0600; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-06-26 00:00:00; filter_close=36.6500; filter_ma50=32.7967; filter_avg_value_10=36.19; filter_adr20=4.80; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,SOUN,2023-07-07,3.6204,,,2023-07-10,3.5496,1_day_low,12191,44135.83,-862.11,-0.019533,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=3.21; raw_entry=open:3.6200; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-06 00:00:00; filter_close=3.5200; filter_ma50=3.0986; filter_avg_value_10=114.15; filter_adr20=13.04; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,GRBK,2023-07-07,50.7751,,,2023-07-10,49.995,1_day_low,869,44123.54,-677.89,-0.015363,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=3.05; raw_entry=open:50.7700; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-06 00:00:00; filter_close=50.4200; filter_ma50=50.3062; filter_avg_value_10=25.08; filter_adr20=3.50; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,MHO,2023-07-07,80.9581,,,2023-07-10,80.5419,1_day_low,544,44041.2,-226.38,-0.00514,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=4.13; raw_entry=open:80.9500; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-06 00:00:00; filter_close=80.8700; filter_ma50=73.9836; filter_avg_value_10=30.59; filter_adr20=2.79; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,CRDO,2023-07-06,16.0816,,,2023-07-11,16.2634,1_day_low,2743,44111.85,498.58,0.011303,,,,3,94.0,entry=rsi2_next_open; setup_rsi2=3.01; raw_entry=open:16.0800; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-05 00:00:00; filter_close=16.4400; filter_ma50=12.9100; filter_avg_value_10=34.88; filter_adr20=4.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,CELH,2023-07-07,48.9949,,,2023-07-11,48.8784,1_day_low,900,44095.41,-104.81,-0.002377,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:48.9900; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-06 00:00:00; filter_close=48.6833; filter_ma50=43.3971; filter_avg_value_10=244.21; filter_adr20=3.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,MBC,2023-07-07,11.0211,,,2023-07-18,11.9288,1_day_low,4000,44084.41,3630.82,0.082361,,,,7,94.0,entry=rsi2_next_open; setup_rsi2=4.64; raw_entry=open:11.0200; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-06 00:00:00; filter_close=10.9700; filter_ma50=10.2600; filter_avg_value_10=31.28; filter_adr20=3.21; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,KBH,2023-07-07,46.1912,,,2023-07-19,51.9738,1_day_low,954,44066.4,5516.59,0.125188,,,,8,90.0,entry=rsi2_next_open; setup_rsi2=2.37; raw_entry=open:46.1866; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-06 00:00:00; filter_close=46.1198; filter_ma50=44.7582; filter_avg_value_10=115.97; filter_adr20=2.53; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,MHO,2023-07-10,80.7281,,,2023-07-19,91.4808,1_day_low,548,44238.98,5892.52,0.133197,,,,7,93.0,entry=rsi2_next_open; setup_rsi2=3.84; raw_entry=open:80.7200; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-07 00:00:00; filter_close=80.7200; filter_ma50=74.2892; filter_avg_value_10=28.25; filter_adr20=2.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,RCL,2023-07-17,95.367,,,2023-07-19,95.9441,1_day_low,470,44822.47,271.26,0.006052,,,,2,95.0,entry=rsi2_next_open; setup_rsi2=3.72; raw_entry=open:95.3574; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-14 00:00:00; filter_close=95.5627; filter_ma50=86.9591; filter_avg_value_10=285.46; filter_adr20=2.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,CUK,2023-07-17,15.6486,,,2023-07-20,16.1531,1_day_low,2864,44817.67,1444.75,0.032236,,,,3,97.0,entry=rsi2_next_open; setup_rsi2=2.98; raw_entry=open:15.6471; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-14 00:00:00; filter_close=15.5873; filter_ma50=12.3749; filter_avg_value_10=46.48; filter_adr20=4.59; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,CCL,2023-07-17,17.1668,,,2023-07-20,17.6975,1_day_low,2613,44856.72,1386.86,0.030918,,,,3,97.0,entry=rsi2_next_open; setup_rsi2=2.83; raw_entry=open:17.1650; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-14 00:00:00; filter_close=17.0463; filter_ma50=13.7031; filter_avg_value_10=1008.58; filter_adr20=4.92; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,NCLH,2023-07-17,20.382,,,2023-07-20,20.6579,1_day_low,2205,44942.39,608.35,0.013536,,,,3,93.0,entry=rsi2_next_open; setup_rsi2=3.40; raw_entry=open:20.3800; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-14 00:00:00; filter_close=20.4200; filter_ma50=17.3902; filter_avg_value_10=309.49; filter_adr20=3.95; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,EOSE,2023-07-19,3.5004,,,2023-07-20,3.1897,1_day_low,12879,45081.01,-4001.11,-0.088754,,,,1,96.0,entry=rsi2_next_open; setup_rsi2=4.62; raw_entry=open:3.5000; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-18 00:00:00; filter_close=3.5300; filter_ma50=3.0830; filter_avg_value_10=30.59; filter_adr20=14.69; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,EOSE,2023-07-20,3.3103,,,2023-07-21,3.0997,1_day_low,13522,44762.3,-2848.29,-0.063631,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=1.38; raw_entry=open:3.3100; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-19 00:00:00; filter_close=3.2800; filter_ma50=3.1080; filter_avg_value_10=32.61; filter_adr20=15.15; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,TTD,2023-07-25,82.6283,,,2023-07-26,82.5117,1_day_low,543,44867.15,-63.27,-0.00141,,,,1,91.0,entry=rsi2_next_open; setup_rsi2=4.00; raw_entry=open:82.6200; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-24 00:00:00; filter_close=82.0700; filter_ma50=75.3438; filter_avg_value_10=793.01; filter_adr20=3.44; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,EOSE,2023-07-21,3.1803,,,2023-07-27,3.1297,1_day_low,14042,44658.03,-710.96,-0.01592,,,,4,94.0,entry=rsi2_next_open; setup_rsi2=0.82; raw_entry=open:3.1800; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-20 00:00:00; filter_close=3.1600; filter_ma50=3.1328; filter_avg_value_10=31.70; filter_adr20=15.40; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,ELF,2023-07-25,109.681,,,2023-07-27,111.5988,1_day_low,407,44640.15,780.57,0.017486,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=4.46; raw_entry=open:109.6700; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-24 00:00:00; filter_close=109.3600; filter_ma50=105.2266; filter_avg_value_10=93.03; filter_adr20=3.15; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,ROIV,2023-07-25,10.6911,,,2023-07-27,10.7289,1_day_low,4192,44816.96,158.7,0.003541,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=1.71; raw_entry=open:10.6900; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-24 00:00:00; filter_close=10.7300; filter_ma50=9.9688; filter_avg_value_10=63.22; filter_adr20=6.09; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,GKOS,2023-07-25,73.0473,,,2023-07-28,76.2124,1_day_low,613,44778.0,1940.19,0.043329,,,,3,91.0,entry=rsi2_next_open; setup_rsi2=4.93; raw_entry=open:73.0400; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-24 00:00:00; filter_close=73.0300; filter_ma50=66.3316; filter_avg_value_10=47.44; filter_adr20=2.71; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,ACAD,2023-07-27,29.4829,,,2023-07-28,28.7471,1_day_low,1521,44843.56,-1119.19,-0.024958,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=3.54; raw_entry=open:29.4800; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-26 00:00:00; filter_close=29.1600; filter_ma50=25.5200; filter_avg_value_10=89.73; filter_adr20=3.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,CRDO,2023-07-20,16.0416,,,2023-07-31,16.8783,1_day_low,2784,44659.83,2329.39,0.052159,,,,7,90.0,entry=rsi2_next_open; setup_rsi2=4.99; raw_entry=open:16.0400; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-19 00:00:00; filter_close=16.1000; filter_ma50=14.6412; filter_avg_value_10=30.80; filter_adr20=4.13; rs_bucket=rs90_100
