date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2022-05-24,998751.5776925656,1000000.0,1,99957.73010772739,0.10008267555247481
2022-05-25,999619.4721778524,1000000.0,2,199828.95459903358,0.19990502402246121
2022-05-26,1004870.9937499654,1000000.0,2,199828.95459903358,0.1988603072851315
2022-05-27,1006966.9439892236,1001847.64,1,99871.22449130619,0.09918024130529453
2022-05-31,1007231.26,1007231.26,0,0.0,0.0
2022-06-01,1007231.26,1007231.26,0,0.0,0.0
2022-06-02,1007231.26,1007231.26,0,0.0,0.0
2022-06-03,1007231.26,1007231.26,0,0.0,0.0
2022-06-06,1007231.26,1007231.26,0,0.0,0.0
2022-06-07,1007231.26,1007231.26,0,0.0,0.0
2022-06-08,1007231.26,1007231.26,0,0.0,0.0
2022-06-09,1007231.26,1007231.26,0,0.0,0.0
2022-06-10,1011103.9102792017,1007231.26,3,302252.7409261092,0.2989334111492522
2022-06-13,967841.1452367438,1007231.26,11,1092224.0247292481,1.128515800454091
2022-06-14,913123.4018882219,1007231.26,32,3041833.8982495456,3.331240763252178
2022-06-15,884034.328908181,996870.3500000001,34,3182748.8288749456,3.6002547919216803
2022-06-16,687283.56290421,906772.0000000001,32,2809717.985028415,4.088149545080884
2022-06-17,528643.1591229073,644618.2000000002,16,1131360.228069056,2.140120814097245
2022-06-21,579716.8169904336,588460.9900000002,11,616388.1560494226,1.0632573318286092
2022-06-22,542196.4296200981,555371.0000000001,6,345136.03948848357,0.6365516639980657
2022-06-23,526150.2452929725,555371.0000000001,6,345136.03948848357,0.6559647982228041
2022-06-24,540877.9806204835,537320.81,1,53684.630999999994,0.09925460625779986
2022-06-27,538647.7781897584,537320.81,1,53684.630999999994,0.09966555729686426
2022-06-28,536311.3773795166,537320.81,1,53684.630999999994,0.10009974291858156
2022-06-29,534496.1527307893,535622.14,1,53538.236262130726,0.10016580285676338
2022-06-30,532730.6532343293,535622.14,1,53538.236262130726,0.10049775798912243
2022-07-01,536860.0868656234,535622.14,5,265642.40552490443,0.49480751507495657
2022-07-05,544708.818776119,530570.12,4,212104.16926277368,0.3893900042583131
2022-07-06,542762.31,542762.31,0,0.0,0.0
2022-07-07,542762.31,542762.31,0,0.0,0.0
2022-07-08,542762.31,542762.31,0,0.0,0.0
2022-07-11,542762.31,542762.31,0,0.0,0.0
2022-07-12,542762.31,542762.31,0,0.0,0.0
2022-07-13,545925.6750009462,542762.31,3,163042.81497837827,0.29865386891374124
2022-07-14,541208.1066263124,542762.31,3,163042.81497837827,0.30125715594824665
2022-07-15,546866.3123822657,542762.31,7,380514.33176614135,0.6958086887973409
2022-07-18,539918.6160405298,539457.56,4,217471.5167877631,0.4027857353439324
2022-07-19,544444.8843549219,539457.56,5,271768.95835038513,0.499167071194703
2022-07-20,538261.6090916749,540985.1300000001,1,54297.44156262205,0.10087556059264538
2022-07-21,539712.1465364686,540985.1300000001,2,108172.58273721312,0.20042643737295218
2022-07-22,539587.6780990907,539805.7200000001,1,53875.14117459106,0.09984501752224473
2022-07-25,536120.1188720361,539805.7200000001,3,161343.73141131972,0.30094698134212355
2022-07-26,532792.6925763723,540958.2200000001,4,214067.2257154064,0.4017833365549046
2022-07-27,540157.224006159,540958.2200000001,7,375509.9951259975,0.6951864724514281
2022-07-28,537005.6673842908,536196.0700000001,5,268041.40488926886,0.4991407375547373
2022-07-29,537167.7105292893,533407.4400000001,3,161442.7694105911,0.30054444123515195
2022-08-01,532264.03,532264.03,0,0.0,0.0
2022-08-02,532264.03,532264.03,0,0.0,0.0
2022-08-03,532264.03,532264.03,0,0.0,0.0
2022-08-04,532570.7829104549,532264.03,1,53204.95195404707,0.09990212317560203
2022-08-05,537083.1463374788,532264.03,3,160099.35555583175,0.2980904477222835
2022-08-08,538094.6721094045,532264.03,4,213833.05845211894,0.39738928767657966
2022-08-09,544003.063880346,535323.47,3,160628.10649807192,0.2952705915888044
2022-08-10,551061.4283376453,546387.49,2,108657.14894262815,0.1971779249192015
2022-08-11,552159.6251041717,549854.47,1,54923.44604634094,0.09947023206555343
2022-08-12,552016.3632633514,549854.47,1,54923.44604634094,0.09949604704043623
2022-08-15,552418.76,552418.76,0,0.0,0.0
2022-08-16,552418.76,552418.76,0,0.0,0.0
2022-08-17,552418.76,552418.76,0,0.0,0.0
2022-08-18,556990.7817434311,552418.76,1,55234.53913913726,0.09916598433864238
2022-08-19,557164.3001989365,552418.76,1,55234.53913913726,0.09913510093775871
2022-08-22,552154.8458297916,552418.76,8,443600.00746816664,0.8033978345359151
2022-08-23,554581.1495137248,555313.08,14,775826.3344016804,1.3989410478195132
2022-08-24,574197.2687115086,555313.08,15,833304.3284679804,1.4512509443625616
2022-08-25,589204.0809723467,578291.4700000001,8,444938.860138951,0.7551523733587878
2022-08-26,571135.9443664699,584211.5800000001,1,57477.994066299994,0.10063802608336482
2022-08-29,573956.5314218254,569985.29,1,56975.656977527615,0.09926824394939021
2022-08-30,574732.7931825371,569985.29,1,56975.656977527615,0.09913416748334378
2022-08-31,593952.7878309495,569985.29,10,580944.9853595871,0.9780996019584899
2022-09-01,575105.410095533,579638.36,11,639214.2584829582,1.111473213887478
2022-09-02,570408.0622873533,579638.36,26,1501436.119151436,2.632214055899968
2022-09-06,556052.5441349557,576475.9299999999,21,1197705.0029228444,2.1539421329077806
2022-09-07,587866.1632657605,575026.7299999997,12,685180.0324115006,1.165537456017428
2022-09-08,597892.4760588333,575026.7299999997,13,745062.792858708,1.246148467647539
2022-09-09,616775.4023699206,588390.4999999997,8,470888.1459870889,0.7634677780237845
2022-09-12,624525.4938833321,618298.1099999998,2,121191.25582995496,0.19405333652014972
2022-09-13,621306.3627518652,617700.1099999998,1,61308.49538274764,0.09867675442949356
2022-09-14,624172.5199999998,624172.5199999998,0,0.0,0.0
2022-09-15,624172.5199999998,624172.5199999998,0,0.0,0.0
2022-09-16,623343.4726062177,624172.5199999998,2,124889.45196912992,0.20035415057281883
2022-09-19,634447.3456124782,624172.5199999998,5,313555.5772958467,0.49421843981890834
2022-09-20,632918.6247086773,624172.5199999998,6,377081.1197824419,0.5957813612389847
2022-09-21,623930.417359499,625445.6999999997,9,565125.1157246071,0.905750224706533
2022-09-22,584067.5781739855,627146.8299999997,13,793015.2029564044,1.357745631825118
2022-09-23,535829.623442744,617499.4799999997,20,1163174.9752172288,2.1707925884047725
2022-09-26,494491.4233265855,586095.1299999997,26,1399114.6394503417,2.829401226088203
2022-09-27,513692.22965628037,533217.1399999997,22,1136589.9080038792,2.2125892555633744
2022-09-28,555623.7516162018,535301.8899999997,17,868698.875946931,1.563466056697638
2022-09-29,532714.0818465478,536546.8199999997,6,319825.7638025227,0.6003703951168515
2022-09-30,531966.4087165414,529937.0499999997,3,165794.28269047133,0.3116630673926912
2022-10-03,534602.5024586228,535966.9399999997,2,107022.13507784542,0.2001901124399034
