strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_2d_close_no_stop,NUVB,2026-01-05,8.5085,,,2026-01-07,8.8312,hold_2d_close,13134,111750.64,4237.82,0.037922,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=3.98; raw_entry=open:8.5000; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-02 00:00:00; filter_close=8.5800; filter_ma50=6.9862; filter_avg_value_10=51.49; filter_adr20=5.60; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,VERA,2026-01-05,48.2682,,,2026-01-07,48.6313,hold_2d_close,2317,111837.47,841.3,0.007523,,,,2,96.0,entry=rsi2_next_open; setup_rsi2=3.11; raw_entry=open:48.2200; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-02 00:00:00; filter_close=48.6200; filter_ma50=37.3344; filter_avg_value_10=58.66; filter_adr20=5.95; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,ASM,2026-01-05,6.1361,,,2026-01-07,6.2338,hold_2d_close,18184,111579.39,1775.3,0.015911,,,,2,95.0,entry=rsi2_next_open; setup_rsi2=2.32; raw_entry=open:6.1300; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-02 00:00:00; filter_close=5.9200; filter_ma50=5.3376; filter_avg_value_10=34.50; filter_adr20=6.21; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,ESTA,2026-01-05,68.7287,,,2026-01-07,69.94,hold_2d_close,1621,111409.16,1963.56,0.017625,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=1.90; raw_entry=open:68.6600; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-02 00:00:00; filter_close=68.8400; filter_ma50=65.7402; filter_avg_value_10=25.43; filter_adr20=4.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,LQDA,2026-01-05,31.3914,,,2026-01-07,30.959,hold_2d_close,3538,111062.63,-1529.66,-0.013773,,,,2,92.0,entry=rsi2_next_open; setup_rsi2=3.08; raw_entry=open:31.3600; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-02 00:00:00; filter_close=31.4000; filter_ma50=30.1040; filter_avg_value_10=37.00; filter_adr20=4.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,NRIX,2026-01-05,18.0781,,,2026-01-07,18.4715,hold_2d_close,6158,111324.69,2422.87,0.021764,,,,2,92.0,entry=rsi2_next_open; setup_rsi2=1.74; raw_entry=open:18.0600; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-02 00:00:00; filter_close=18.0600; filter_ma50=15.7855; filter_avg_value_10=28.32; filter_adr20=5.71; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,RIGL,2026-01-05,41.7417,,,2026-01-07,46.983,hold_2d_close,2658,110949.44,13931.29,0.125564,,,,2,92.0,entry=rsi2_next_open; setup_rsi2=3.35; raw_entry=open:41.7000; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-02 00:00:00; filter_close=41.8300; filter_ma50=40.5546; filter_avg_value_10=28.11; filter_adr20=5.41; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,ABVX,2026-01-06,123.6335,,,2026-01-08,115.3745,hold_2d_close,937,115844.6,-7738.69,-0.066802,,,,2,99.0,entry=rsi2_next_open; setup_rsi2=1.64; raw_entry=open:123.5100; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-05 00:00:00; filter_close=123.2300; filter_ma50=115.9527; filter_avg_value_10=241.64; filter_adr20=6.10; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,CAPR,2026-01-06,24.7547,,,2026-01-08,25.5244,hold_2d_close,4667,115530.32,3592.28,0.031094,,,,2,99.0,entry=rsi2_next_open; setup_rsi2=1.11; raw_entry=open:24.7300; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-05 00:00:00; filter_close=24.8100; filter_ma50=15.5350; filter_avg_value_10=36.46; filter_adr20=7.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,COGT,2026-01-06,34.4945,,,2026-01-08,35.5344,hold_2d_close,3368,116177.34,3502.62,0.030149,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=0.67; raw_entry=open:34.4600; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-05 00:00:00; filter_close=34.2600; filter_ma50=32.3246; filter_avg_value_10=88.77; filter_adr20=5.36; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,KOD,2026-01-06,24.3744,,,2026-01-08,26.5934,hold_2d_close,4770,116265.65,10584.78,0.09104,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=3.11; raw_entry=open:24.3500; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-05 00:00:00; filter_close=25.0000; filter_ma50=22.5188; filter_avg_value_10=36.96; filter_adr20=8.64; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,RVMD,2026-01-06,78.5885,,,2026-01-08,107.2826,hold_2d_close,1483,116546.76,42553.35,0.365118,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=2.30; raw_entry=open:78.5100; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-05 00:00:00; filter_close=78.3300; filter_ma50=71.3730; filter_avg_value_10=163.43; filter_adr20=3.02; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,KYMR,2026-01-06,70.7307,,,2026-01-08,74.905,hold_2d_close,1651,116776.33,6891.87,0.059018,,,,2,92.0,entry=rsi2_next_open; setup_rsi2=0.30; raw_entry=open:70.6600; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-05 00:00:00; filter_close=72.4100; filter_ma50=70.7496; filter_avg_value_10=58.77; filter_adr20=5.49; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,VRDN,2026-01-06,29.7197,,,2026-01-08,30.2997,hold_2d_close,3944,117214.46,2287.44,0.019515,,,,2,92.0,entry=rsi2_next_open; setup_rsi2=3.67; raw_entry=open:29.6900; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-05 00:00:00; filter_close=30.2000; filter_ma50=29.2886; filter_avg_value_10=47.94; filter_adr20=3.38; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,NUVB,2026-01-07,8.5085,,,2026-01-09,8.032,hold_2d_close,14848,126334.21,-7075.67,-0.056008,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=4.35; raw_entry=open:8.5000; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-06 00:00:00; filter_close=8.4900; filter_ma50=7.1570; filter_avg_value_10=43.82; filter_adr20=5.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,VERA,2026-01-07,47.7677,,,2026-01-09,48.6613,hold_2d_close,2655,126823.3,2372.42,0.018707,,,,2,95.0,entry=rsi2_next_open; setup_rsi2=1.11; raw_entry=open:47.7200; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-06 00:00:00; filter_close=46.5200; filter_ma50=38.0434; filter_avg_value_10=54.27; filter_adr20=5.68; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,INDV,2026-01-13,34.034,,,2026-01-15,32.8521,hold_2d_close,3651,124258.13,-4315.07,-0.034727,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=1.67; raw_entry=open:34.0000; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-12 00:00:00; filter_close=34.5600; filter_ma50=33.8800; filter_avg_value_10=68.41; filter_adr20=3.01; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,JMIA,2026-01-16,12.9629,,,2026-01-20,12.4375,hold_2d_close,9552,123822.1,-5018.62,-0.040531,,,,2,95.0,entry=rsi2_next_open; setup_rsi2=2.66; raw_entry=open:12.9500; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-15 00:00:00; filter_close=12.7800; filter_ma50=12.0056; filter_avg_value_10=40.73; filter_adr20=5.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,AA,2026-01-20,59.5966,,,2026-01-22,62.8731,hold_2d_close,2069,123305.36,6779.11,0.054978,,,,2,95.0,entry=rsi2_next_open; setup_rsi2=4.92; raw_entry=open:59.5371; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-16 00:00:00; filter_close=59.8760; filter_ma50=47.6179; filter_avg_value_10=642.79; filter_adr20=3.92; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,JMIA,2026-01-20,12.032,,,2026-01-22,12.6473,hold_2d_close,10289,123797.46,6331.02,0.05114,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=1.41; raw_entry=open:12.0200; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-16 00:00:00; filter_close=12.4500; filter_ma50=12.0396; filter_avg_value_10=42.50; filter_adr20=5.24; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,PACS,2026-01-21,36.056,,,2026-01-23,34.935,hold_2d_close,3457,124645.66,-3875.26,-0.03109,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=1.37; raw_entry=open:36.0200; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-20 00:00:00; filter_close=35.6900; filter_ma50=31.0508; filter_avg_value_10=47.54; filter_adr20=4.79; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,DRUG,2026-01-21,83.3933,,,2026-01-23,86.913,hold_2d_close,1495,124672.99,5261.94,0.042206,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:83.3100; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-20 00:00:00; filter_close=83.0000; filter_ma50=76.0227; filter_avg_value_10=32.97; filter_adr20=9.67; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,SPHR,2026-01-22,96.5865,,,2026-01-26,95.4844,hold_2d_close,1297,125272.67,-1429.38,-0.01141,,,,2,92.0,entry=rsi2_next_open; setup_rsi2=4.87; raw_entry=open:96.4900; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-21 00:00:00; filter_close=93.1500; filter_ma50=87.2702; filter_avg_value_10=81.86; filter_adr20=3.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,CAPR,2026-01-26,23.053,,,2026-01-28,21.5484,hold_2d_close,5406,124624.68,-8133.87,-0.065267,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=4.57; raw_entry=open:23.0300; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-23 00:00:00; filter_close=23.2000; filter_ma50=20.3298; filter_avg_value_10=34.48; filter_adr20=6.13; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,RVMD,2026-01-27,98.2331,,,2026-01-29,98.1018,hold_2d_close,1271,124854.32,-166.93,-0.001337,,,,2,96.0,entry=rsi2_next_open; setup_rsi2=2.60; raw_entry=open:98.1350; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-26 00:00:00; filter_close=97.7800; filter_ma50=86.4170; filter_avg_value_10=532.41; filter_adr20=5.87; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,CAPR,2026-01-29,21.6316,,,2026-02-02,23.0669,hold_2d_close,5723,123797.71,8214.22,0.066352,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=4.96; raw_entry=open:21.6100; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-28 00:00:00; filter_close=21.5700; filter_ma50=21.3472; filter_avg_value_10=30.26; filter_adr20=6.43; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,GH,2026-01-29,107.7877,,,2026-02-02,114.7851,hold_2d_close,1153,124279.2,8068.03,0.064919,,,,2,92.0,entry=rsi2_next_open; setup_rsi2=3.39; raw_entry=open:107.6800; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-28 00:00:00; filter_close=109.7300; filter_ma50=105.4196; filter_avg_value_10=203.00; filter_adr20=4.84; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,GPCR,2026-01-30,87.2372,,,2026-02-03,83.6962,hold_2d_close,1429,124661.89,-5059.99,-0.04059,,,,2,99.0,entry=rsi2_next_open; setup_rsi2=3.55; raw_entry=open:87.1500; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-29 00:00:00; filter_close=87.1500; filter_ma50=62.7442; filter_avg_value_10=99.89; filter_adr20=6.54; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,CALY,2026-01-30,14.0941,,,2026-02-03,14.4655,hold_2d_close,8857,124831.27,3289.84,0.026354,,,,2,91.0,entry=rsi2_next_open; setup_rsi2=4.76; raw_entry=open:14.0800; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-29 00:00:00; filter_close=14.5300; filter_ma50=12.5994; filter_avg_value_10=54.68; filter_adr20=4.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,CRML,2026-02-02,13.8639,,,2026-02-04,13.017,hold_2d_close,9089,126008.54,-7697.3,-0.061086,,,,2,99.0,entry=rsi2_next_open; setup_rsi2=4.08; raw_entry=open:13.8500; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=13.1700; filter_ma50=10.9804; filter_avg_value_10=543.38; filter_adr20=19.44; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,HL,2026-02-02,22.3379,,,2026-02-04,23.0824,hold_2d_close,5589,124846.73,4160.58,0.033326,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=1.42; raw_entry=open:22.3156; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=22.5156; filter_ma50=20.6006; filter_avg_value_10=1079.70; filter_adr20=8.71; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,AG,2026-02-02,20.5553,,,2026-02-04,22.4018,hold_2d_close,6052,124400.39,11175.34,0.089834,,,,2,97.0,entry=rsi2_next_open; setup_rsi2=4.36; raw_entry=open:20.5347; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=20.8346; filter_ma50=17.6373; filter_avg_value_10=871.13; filter_adr20=8.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,UAMY,2026-02-02,7.8879,,,2026-02-04,8.0619,hold_2d_close,15760,124312.99,2743.02,0.022065,,,,2,96.0,entry=rsi2_next_open; setup_rsi2=4.91; raw_entry=open:7.8800; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=7.3300; filter_ma50=6.8088; filter_avg_value_10=195.21; filter_adr20=15.61; rs_bucket=rs90_100
