strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_1d_close_no_stop,SIMO,2022-05-24,81.6648,,,2022-05-25,80.8215,hold_1d_close,1224,99957.73,-1032.16,-0.010326,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=3.96; raw_entry=open:81.5832; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-05-23 00:00:00; filter_close=81.9512; filter_ma50=71.7197; filter_avg_value_10=74.11; filter_adr20=4.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,SIMO,2022-05-25,80.5321,,,2022-05-26,82.6229,hold_1d_close,1240,99859.81,2592.57,0.025962,,,,1,93.0,entry=rsi2_next_open; setup_rsi2=1.46; raw_entry=open:80.4517; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-05-24 00:00:00; filter_close=80.6449; filter_ma50=72.1445; filter_avg_value_10=69.49; filter_adr20=4.02; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,AVT,2022-05-25,41.4575,,,2022-05-26,42.9078,hold_1d_close,2410,99912.68,3495.06,0.034981,,,,1,93.0,entry=rsi2_next_open; setup_rsi2=4.87; raw_entry=open:41.4161; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-05-24 00:00:00; filter_close=40.9738; filter_ma50=38.3106; filter_avg_value_10=33.65; filter_adr20=3.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,VAL,2022-06-10,55.5855,,,2022-06-13,52.3076,hold_1d_close,1808,100498.64,-5926.42,-0.05897,,,,1,96.0,entry=rsi2_next_open; setup_rsi2=4.64; raw_entry=open:55.5300; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-09 00:00:00; filter_close=56.4100; filter_ma50=55.2612; filter_avg_value_10=72.66; filter_adr20=4.91; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,PPC,2022-06-10,25.9314,,,2022-06-13,25.2364,hold_1d_close,3878,100562.13,-2695.19,-0.026801,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=3.99; raw_entry=open:25.9055; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-09 00:00:00; filter_close=26.2783; filter_ma50=24.5101; filter_avg_value_10=30.43; filter_adr20=3.57; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,FRO,2022-06-10,6.4686,,,2022-06-13,6.3048,hold_1d_close,15539,100516.32,-2546.73,-0.025337,,,,1,91.0,entry=rsi2_next_open; setup_rsi2=3.25; raw_entry=open:6.4622; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-09 00:00:00; filter_close=6.6853; filter_ma50=6.5344; filter_avg_value_10=25.99; filter_adr20=4.98; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,OXY,2022-06-13,57.9416,,,2022-06-14,58.5043,hold_1d_close,1715,99369.88,964.94,0.009711,,,,1,97.0,entry=rsi2_next_open; setup_rsi2=4.35; raw_entry=open:57.8837; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=60.2417; filter_ma50=58.4586; filter_avg_value_10=1753.81; filter_adr20=4.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,VAL,2022-06-13,53.8938,,,2022-06-14,50.7991,hold_1d_close,1839,99110.77,-5691.14,-0.057422,,,,1,96.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:53.8400; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=56.0400; filter_ma50=55.3472; filter_avg_value_10=74.92; filter_adr20=5.00; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,PBR,2022-06-13,5.6701,,,2022-06-14,5.6366,hold_1d_close,17433,98847.12,-584.08,-0.005909,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=2.73; raw_entry=open:5.6645; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=5.8642; filter_ma50=5.8594; filter_avg_value_10=156.74; filter_adr20=2.79; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,CC,2022-06-13,34.2727,,,2022-06-14,31.6293,hold_1d_close,2880,98705.4,-7612.9,-0.077127,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=4.57; raw_entry=open:34.2385; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=35.4488; filter_ma50=32.7609; filter_avg_value_10=44.63; filter_adr20=3.81; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close_no_stop,UNM,2022-06-13,30.6792,,,2022-06-14,30.1539,hold_1d_close,3210,98480.27,-1686.35,-0.017124,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=4.65; raw_entry=open:30.6486; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2022-06-10 00:00:00; filter_close=31.3989; filter_ma50=30.1431; filter_avg_value_10=62.91; filter_adr20=2.74; rs_bucket=rs90_100
