strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_trail_0_5atr,GEO,2024-12-16,27.0027,,,2024-12-17,26.9273,trail_0_5atr,4104,110819.08,-309.41,-0.002792,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=3.64; raw_entry=open:27.0000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-13 00:00:00; filter_close=27.4100; filter_ma50=21.5038; filter_avg_value_10=79.55; filter_adr20=5.15; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,INOD,2024-12-13,35.2035,,,2024-12-18,37.6702,trail_0_5atr,2998,105540.16,7394.99,0.070068,,,,3,96.0,entry=rsi2_next_open; setup_rsi2=1.93; raw_entry=open:35.2000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-12 00:00:00; filter_close=35.0300; filter_ma50=29.9906; filter_avg_value_10=92.66; filter_adr20=10.86; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,DUOL,2024-12-13,340.534,,,2024-12-18,352.4048,trail_0_5atr,308,104884.49,3656.18,0.034859,,,,3,90.0,entry=rsi2_next_open; setup_rsi2=4.76; raw_entry=open:340.5000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-12 00:00:00; filter_close=339.5200; filter_ma50=314.9831; filter_avg_value_10=193.41; filter_adr20=4.28; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,SFM,2024-12-18,138.2538,,,2024-12-19,135.1865,trail_0_5atr,780,107837.99,-2392.53,-0.022186,,,,1,90.0,entry=rsi2_next_open; setup_rsi2=3.83; raw_entry=open:138.2400; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-17 00:00:00; filter_close=138.6000; filter_ma50=135.4394; filter_avg_value_10=175.11; filter_adr20=2.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,TWLO,2024-12-19,106.4106,,,2024-12-20,104.5395,trail_0_5atr,1012,107687.57,-1893.55,-0.017584,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=4.59; raw_entry=open:106.4000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-18 00:00:00; filter_close=105.4600; filter_ma50=91.5268; filter_avg_value_10=294.79; filter_adr20=3.32; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,INTA,2024-12-19,65.4465,,,2024-12-20,63.1037,trail_0_5atr,1650,107986.8,-3865.71,-0.035798,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=2.84; raw_entry=open:65.4400; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-18 00:00:00; filter_close=64.4300; filter_ma50=57.3374; filter_avg_value_10=44.71; filter_adr20=3.45; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,QTWO,2024-12-19,104.4104,,,2024-12-20,100.5299,trail_0_5atr,1033,107855.99,-4008.55,-0.037166,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=4.66; raw_entry=open:104.4000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-18 00:00:00; filter_close=102.3400; filter_ma50=95.5912; filter_avg_value_10=66.14; filter_adr20=3.16; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,GSAT,2024-12-19,28.5028,,,2024-12-20,27.8115,trail_0_5atr,3795,108168.32,-2623.66,-0.024255,,,,1,90.0,entry=rsi2_next_open; setup_rsi2=3.44; raw_entry=open:28.5000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-18 00:00:00; filter_close=27.7500; filter_ma50=24.6600; filter_avg_value_10=57.48; filter_adr20=9.92; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,UAL,2024-12-19,92.7593,,,2024-12-23,96.2779,trail_0_5atr,1161,107693.52,4085.09,0.037933,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=4.34; raw_entry=open:92.7500; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-18 00:00:00; filter_close=91.4700; filter_ma50=85.5090; filter_avg_value_10=465.64; filter_adr20=3.41; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,JANX,2024-12-19,54.5555,,,2024-12-23,56.1344,trail_0_5atr,1974,107692.47,3116.81,0.028942,,,,2,91.0,entry=rsi2_next_open; setup_rsi2=2.98; raw_entry=open:54.5500; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-18 00:00:00; filter_close=55.1300; filter_ma50=53.5433; filter_avg_value_10=83.06; filter_adr20=8.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,MSTR,2024-12-20,319.4019,,,2024-12-23,346.5446,trail_0_5atr,336,107319.05,9119.95,0.08498,,,,1,96.0,entry=rsi2_next_open; setup_rsi2=3.41; raw_entry=open:319.3700; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-19 00:00:00; filter_close=326.4600; filter_ma50=314.1056; filter_avg_value_10=9309.38; filter_adr20=12.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,UPST,2024-12-20,66.0066,,,2024-12-23,68.0425,trail_0_5atr,1651,108976.9,3361.24,0.030844,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=4.56; raw_entry=open:66.0000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-19 00:00:00; filter_close=67.2300; filter_ma50=64.7157; filter_avg_value_10=536.95; filter_adr20=8.18; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,SITM,2024-12-20,211.5412,,,2024-12-26,222.0786,trail_0_5atr,517,109366.78,5447.85,0.049813,,,,4,92.0,entry=rsi2_next_open; setup_rsi2=3.05; raw_entry=open:211.5200; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-19 00:00:00; filter_close=216.0900; filter_ma50=205.1135; filter_avg_value_10=70.44; filter_adr20=5.27; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,HIMS,2024-12-20,26.0426,,,2024-12-27,28.4572,trail_0_5atr,4200,109378.94,10141.1,0.092715,,,,5,92.0,entry=rsi2_next_open; setup_rsi2=4.32; raw_entry=open:26.0400; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-19 00:00:00; filter_close=26.3600; filter_ma50=25.3838; filter_avg_value_10=412.02; filter_adr20=10.55; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,UPWK,2024-12-20,16.0116,,,2024-12-27,16.749,trail_0_5atr,6852,109711.49,5052.93,0.046057,,,,5,91.0,entry=rsi2_next_open; setup_rsi2=4.48; raw_entry=open:16.0100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-19 00:00:00; filter_close=16.2400; filter_ma50=14.6408; filter_avg_value_10=28.88; filter_adr20=3.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,CAN,2024-12-24,2.1882,,,2024-12-27,2.198,trail_0_5atr,50569,110656.03,494.35,0.004467,,,,3,95.0,entry=rsi2_next_open; setup_rsi2=3.85; raw_entry=open:2.1880; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-23 00:00:00; filter_close=2.0600; filter_ma50=1.7627; filter_avg_value_10=60.23; filter_adr20=15.44; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,UNFI,2024-12-24,25.8526,,,2024-12-27,26.5495,trail_0_5atr,4292,110959.3,2991.11,0.026957,,,,3,93.0,entry=rsi2_next_open; setup_rsi2=3.81; raw_entry=open:25.8500; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-23 00:00:00; filter_close=25.6500; filter_ma50=23.1588; filter_avg_value_10=34.45; filter_adr20=4.55; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,DOCS,2024-12-31,53.7954,,,2025-01-02,53.0463,trail_0_5atr,2061,110872.28,-1543.92,-0.013925,,,,2,91.0,entry=rsi2_next_open; setup_rsi2=4.18; raw_entry=open:53.7900; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-30 00:00:00; filter_close=53.4600; filter_ma50=50.3018; filter_avg_value_10=147.00; filter_adr20=4.08; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,AXON,2025-01-02,604.1304,,,2025-01-03,595.3004,trail_0_5atr,184,111160.0,-1624.71,-0.014616,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=4.03; raw_entry=open:604.0700; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-31 00:00:00; filter_close=594.3200; filter_ma50=576.9822; filter_avg_value_10=900.79; filter_adr20=3.81; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,ARQT,2025-01-02,14.2014,,,2025-01-03,14.5685,trail_0_5atr,7823,111097.71,2872.0,0.025851,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=4.69; raw_entry=open:14.2000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-31 00:00:00; filter_close=13.9300; filter_ma50=11.3077; filter_avg_value_10=34.51; filter_adr20=7.65; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,RBRK,2025-01-02,65.7266,,,2025-01-06,67.3457,trail_0_5atr,1684,110683.55,2726.54,0.024634,,,,2,96.0,entry=rsi2_next_open; setup_rsi2=4.49; raw_entry=open:65.7200; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-31 00:00:00; filter_close=65.3600; filter_ma50=53.1002; filter_avg_value_10=245.90; filter_adr20=6.80; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,BE,2025-01-02,22.5123,,,2025-01-06,24.525,trail_0_5atr,4923,110827.81,9909.0,0.089409,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=3.49; raw_entry=open:22.5100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-31 00:00:00; filter_close=22.2100; filter_ma50=19.5120; filter_avg_value_10=112.33; filter_adr20=7.42; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,DOCS,2025-01-02,53.9054,,,2025-01-07,55.2791,trail_0_5atr,2066,111368.54,2838.11,0.025484,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=4.06; raw_entry=open:53.9000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-12-31 00:00:00; filter_close=53.3900; filter_ma50=50.4996; filter_avg_value_10=147.22; filter_adr20=4.09; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,DXYZ,2025-01-03,56.2706,,,2025-01-07,60.364,trail_0_5atr,1994,112203.63,8162.11,0.072744,,,,2,99.0,entry=rsi2_next_open; setup_rsi2=3.69; raw_entry=open:56.2650; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=57.1600; filter_ma50=41.6466; filter_avg_value_10=88.80; filter_adr20=14.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,UAL,2025-01-03,95.4095,,,2025-01-07,98.9901,trail_0_5atr,1187,113251.13,4250.12,0.037528,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=4.02; raw_entry=open:95.4000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=95.4300; filter_ma50=91.1548; filter_avg_value_10=452.87; filter_adr20=3.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,TSLA,2025-01-03,381.5182,,,2025-01-07,405.7894,trail_0_5atr,297,113310.89,7208.56,0.063618,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=2.97; raw_entry=open:381.4800; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=379.2800; filter_ma50=349.3916; filter_avg_value_10=40205.61; filter_adr20=5.71; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,CIEN,2025-01-03,83.6484,,,2025-01-07,84.0187,trail_0_5atr,1364,114096.37,505.2,0.004428,,,,2,91.0,entry=rsi2_next_open; setup_rsi2=2.87; raw_entry=open:83.6400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=83.2400; filter_ma50=73.6926; filter_avg_value_10=149.64; filter_adr20=3.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,ALK,2025-01-03,64.3064,,,2025-01-08,65.2935,trail_0_5atr,1775,114143.92,1752.0,0.015349,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=4.64; raw_entry=open:64.3000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-02 00:00:00; filter_close=64.3000; filter_ma50=55.3154; filter_avg_value_10=197.10; filter_adr20=3.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,UMAC,2025-01-10,12.8413,,,2025-01-13,11.8988,trail_0_5atr,8923,114582.78,-8409.7,-0.073394,,,,1,99.0,entry=rsi2_next_open; setup_rsi2=4.13; raw_entry=open:12.8400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=12.3800; filter_ma50=8.6020; filter_avg_value_10=63.73; filter_adr20=19.68; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,SOUN,2025-01-10,14.4414,,,2025-01-13,12.9511,trail_0_5atr,7944,114722.83,-11839.31,-0.103199,,,,1,98.0,entry=rsi2_next_open; setup_rsi2=2.20; raw_entry=open:14.4400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=15.0200; filter_ma50=12.3029; filter_avg_value_10=1585.05; filter_adr20=17.69; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,XMTR,2025-01-10,35.4635,,,2025-01-13,32.7567,trail_0_5atr,3227,114440.86,-8734.92,-0.076327,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=4.52; raw_entry=open:35.4600; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=36.5400; filter_ma50=33.0894; filter_avg_value_10=29.73; filter_adr20=7.57; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,AISP,2025-01-10,4.5405,,,2025-01-13,4.1396,trail_0_5atr,25069,113824.64,-10049.36,-0.088288,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=2.91; raw_entry=open:4.5400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=4.5500; filter_ma50=3.4971; filter_avg_value_10=26.72; filter_adr20=20.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,AIRE,2025-01-10,42.4042,,,2025-01-13,40.496,trail_0_5atr,2688,113982.6,-5129.49,-0.045002,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=4.89; raw_entry=open:42.4000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-08 00:00:00; filter_close=44.7500; filter_ma50=34.0005; filter_avg_value_10=51.19; filter_adr20=22.64; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,NVCR,2025-01-13,27.4527,,,2025-01-14,27.2173,trail_0_5atr,3949,108410.89,-929.86,-0.008577,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=1.18; raw_entry=open:27.4500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-10 00:00:00; filter_close=27.4500; filter_ma50=24.2271; filter_avg_value_10=26.42; filter_adr20=5.56; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,DOCS,2025-01-13,51.3951,,,2025-01-14,50.3617,trail_0_5atr,2114,108649.32,-2184.66,-0.020107,,,,1,90.0,entry=rsi2_next_open; setup_rsi2=4.60; raw_entry=open:51.3900; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-10 00:00:00; filter_close=52.1000; filter_ma50=52.0448; filter_avg_value_10=90.46; filter_adr20=3.94; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,EOSE,2025-01-14,4.8705,,,2025-01-15,4.6795,trail_0_5atr,22530,109732.07,-4302.22,-0.039207,,,,1,98.0,entry=rsi2_next_open; setup_rsi2=3.64; raw_entry=open:4.8700; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-13 00:00:00; filter_close=4.7400; filter_ma50=3.5440; filter_avg_value_10=49.52; filter_adr20=10.56; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,DXYZ,2025-01-14,53.0653,,,2025-01-15,51.8412,trail_0_5atr,2056,109102.27,-2516.82,-0.023068,,,,1,98.0,entry=rsi2_next_open; setup_rsi2=1.56; raw_entry=open:53.0600; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-13 00:00:00; filter_close=48.4900; filter_ma50=47.1696; filter_avg_value_10=70.63; filter_adr20=10.92; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,KC,2025-01-14,9.611,,,2025-01-15,9.4185,trail_0_5atr,11284,108450.08,-2171.88,-0.020027,,,,1,98.0,entry=rsi2_next_open; setup_rsi2=3.10; raw_entry=open:9.6100; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-13 00:00:00; filter_close=9.1500; filter_ma50=7.4436; filter_avg_value_10=37.62; filter_adr20=6.16; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_0_5atr,NVCR,2025-01-14,27.2227,,,2025-01-15,26.9263,trail_0_5atr,3980,108346.43,-1179.59,-0.010887,,,,1,93.0,entry=rsi2_next_open; setup_rsi2=1.08; raw_entry=open:27.2200; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-01-13 00:00:00; filter_close=27.3750; filter_ma50=24.4368; filter_avg_value_10=29.20; filter_adr20=5.48; rs_bucket=rs90_100
