date,open_positions,gross_exposure,exposure_pct
2024-05-21,2,199148.63052027102,0.20129167342671286
2024-05-22,2,199148.63052027102,0.2007336109457609
2024-05-23,6,592451.1794421804,0.6048839838467208
2024-05-24,9,895516.3781400754,0.8818066204879886
2024-05-28,8,800770.2921573234,0.7817638603179823
2024-05-29,8,803828.21645708,0.7894270134560187
2024-05-30,9,914027.2580365167,0.883195708330182
2024-05-31,9,915598.902285828,0.885744833492843
2024-06-03,9,918245.3863901981,0.893012814052865
2024-06-04,11,1116171.989007649,1.1052510098076846
2024-06-05,18,1856991.0778222003,1.7419799178029998
2024-06-06,19,1961463.5273322575,1.8847002651532951
2024-06-07,20,2060577.7674572102,2.0781609200990614
2024-06-10,17,1745477.8120170122,1.696472051812411
2024-06-11,18,1845898.3763847733,1.8349817012023646
2024-06-12,16,1643661.5561788906,1.5904091709137411
2024-06-13,13,1340847.3696721462,1.2992343149386585
2024-06-14,14,1442438.5664723048,1.4223760855731014
2024-06-17,16,1644498.2482338068,1.6307869945037816
2024-06-18,17,1750278.9316993013,1.7280574367711488
2024-06-20,17,1742052.473878939,1.7116525743978326
2024-06-21,21,2156656.202899034,2.0778378240565516
2024-06-24,18,1842900.5796542354,1.7706372597603113
2024-06-25,20,2072057.5776603026,1.9183868015850536
2024-06-26,20,2070587.6497793498,1.9630852801075365
2024-06-27,17,1768286.292769983,1.6519011048490624
2024-06-28,16,1675057.178886631,1.5824437609607434
2024-07-01,17,1786586.538360442,1.6681024494672312
2024-07-02,14,1469997.8930565317,1.3363759388208036
2024-07-03,12,1267440.2065892604,1.130195588013005
2024-07-05,12,1290486.7865972244,1.1246093730463353
2024-07-08,10,1068882.902766242,0.9314239963477668
2024-07-09,12,1296154.2981458907,1.140604498186243
2024-07-10,13,1409599.7925486146,1.2426368462575172
2024-07-11,10,1133236.376172196,0.9639020134245738
2024-07-12,12,1366257.848015079,1.1674727192582621
2024-07-15,10,1134911.757192615,0.9496675837229644
2024-07-16,9,1026425.3684028181,0.8476046897781819
2024-07-17,8,912908.4126176863,0.7779581387843196
2024-07-18,11,1261403.3810788272,1.0894213749800936
2024-07-19,12,1374959.7239523747,1.2139258526110503
2024-07-22,12,1374727.6051559001,1.2168318223328356
2024-07-23,10,1146956.1137379282,0.9967414887657595
2024-07-24,10,1146956.1137379282,1.036818056007081
2024-07-25,14,1578878.7850457432,1.4642123353356513
2024-07-26,14,1587017.140264695,1.439355479902192
2024-07-29,14,1587017.140264695,1.4931353082891714
2024-07-30,15,1687458.180068467,1.6809463816685193
2024-07-31,15,1681779.9279679977,1.61983407348209
2024-08-01,15,1655655.697567094,1.7062164560545192
2024-08-02,17,1838030.433217094,2.034813017263045
2024-08-05,29,2917302.822703328,3.1548336673033983
2024-08-06,43,4225713.5374122765,4.492689341186365
2024-08-07,46,4483136.794663038,5.262654260201833
2024-08-08,41,4001496.2546531404,4.170006762132338
2024-08-09,33,3173942.036236546,3.182733969382016
2024-08-12,32,3057741.541031915,3.1708743844059617
2024-08-13,26,2518862.863888069,2.560213854404926
2024-08-14,23,2244122.6496272255,2.2761328522971844
2024-08-15,15,1515537.2266265424,1.4749247914137706
2024-08-16,10,1021230.4897596525,0.9806685825282515
2024-08-19,4,419457.48400872684,0.3891459749308272
2024-08-20,4,419457.48400872684,0.39095613961865006
2024-08-21,4,419457.48400872684,0.3878276977415101
2024-08-22,4,419457.48400872684,0.3901861403777579
2024-08-23,2,204813.46767354757,0.1886071528962811
2024-08-26,2,204813.46767354757,0.18867418651207266
2024-08-27,3,330660.2354410425,0.30394675067980764
2024-08-28,3,330660.2354410425,0.30526538133647185
2024-08-29,4,439087.50890414027,0.40543196265154563
2024-08-30,5,545536.4186938141,0.5094390978168182
2024-09-03,5,545536.4186938141,0.5246753074005848
2024-09-04,8,865608.425316794,0.8122259635840499
2024-09-05,10,1072779.6332249665,1.0388883085806069
2024-09-06,11,1173735.8251132893,1.1690911313905263
