strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_3_day_low_no_stop,SNDK,2026-03-27,599.75,,,2026-03-30,599.37,3_day_low,82,49179.5,-31.16,-0.000634,,,,1,99.0,entry=rsi2_next_open; setup_rsi2=1.62; raw_entry=open:599.7500; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-03-26 00:00:00; filter_close=603.1700; filter_ma50=597.8078; filter_avg_value_10=13718.82; filter_adr20=7.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low_no_stop,NBIS,2026-03-27,105.83,,,2026-03-30,100.27,3_day_low,467,49422.61,-2596.52,-0.052537,,,,1,90.0,entry=rsi2_next_open; setup_rsi2=4.73; raw_entry=open:105.8300; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-03-26 00:00:00; filter_close=105.9700; filter_ma50=100.0922; filter_avg_value_10=2667.86; filter_adr20=7.22; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low_no_stop,KOS,2026-03-12,2.09,,,2026-03-31,2.71,3_day_low,22230,46460.7,13782.6,0.296651,,,,13,93.0,entry=rsi2_next_open; setup_rsi2=1.86; raw_entry=open:2.0900; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-03-11 00:00:00; filter_close=2.0100; filter_ma50=1.5994; filter_avg_value_10=91.30; filter_adr20=10.91; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low_no_stop,UNF,2026-03-30,249.9,,,2026-03-31,248.47,3_day_low,193,48230.7,-275.99,-0.005722,,,,1,90.0,entry=rsi2_next_open; setup_rsi2=3.68; raw_entry=open:249.9000; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-03-27 00:00:00; filter_close=248.6200; filter_ma50=235.1777; filter_avg_value_10=121.86; filter_adr20=3.33; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low_no_stop,TPL,2026-03-31,468.77,,,2026-04-01,465.0,3_day_low,104,48752.08,-392.08,-0.008042,,,,1,90.0,entry=rsi2_next_open; setup_rsi2=1.42; raw_entry=open:468.7700; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-03-30 00:00:00; filter_close=467.3700; filter_ma50=453.0284; filter_avg_value_10=270.78; filter_adr20=4.26; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low_no_stop,AROC,2026-03-31,34.5517,,,2026-04-01,34.0746,3_day_low,1421,49097.94,-677.99,-0.013809,,,,1,90.0,entry=rsi2_next_open; setup_rsi2=4.00; raw_entry=open:34.5517; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-03-30 00:00:00; filter_close=34.2833; filter_ma50=32.7930; filter_avg_value_10=67.47; filter_adr20=3.22; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low_no_stop,SOC,2026-04-02,15.71,,,2026-04-06,14.56,3_day_low,3138,49297.98,-3608.7,-0.073202,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=4.52; raw_entry=open:15.7100; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-04-01 00:00:00; filter_close=14.7000; filter_ma50=12.0208; filter_avg_value_10=98.69; filter_adr20=13.24; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low_no_stop,PURR,2026-03-27,4.725,,,2026-04-07,4.82,3_day_low,10452,49385.7,992.94,0.020106,,,,7,98.0,entry=rsi2_next_open; setup_rsi2=4.21; raw_entry=open:4.7250; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-03-26 00:00:00; filter_close=4.8800; filter_ma50=4.6462; filter_avg_value_10=40.01; filter_adr20=12.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low_no_stop,PUMP,2026-04-02,13.69,,,2026-04-08,12.95,3_day_low,3601,49297.69,-2664.74,-0.054054,,,,4,95.0,entry=rsi2_next_open; setup_rsi2=1.50; raw_entry=open:13.6900; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-04-01 00:00:00; filter_close=13.5000; filter_ma50=12.4906; filter_avg_value_10=42.48; filter_adr20=5.70; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low_no_stop,NBR,2026-04-02,81.13,,,2026-04-08,78.09,3_day_low,608,49327.04,-1848.32,-0.037471,,,,4,95.0,entry=rsi2_next_open; setup_rsi2=3.01; raw_entry=open:81.1300; slippage_bps=0.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-04-01 00:00:00; filter_close=79.3400; filter_ma50=75.4070; filter_avg_value_10=30.59; filter_adr20=5.35; rs_bucket=rs90_100
