date,open_positions,gross_exposure,exposure_pct
2024-05-21,0,0.0,0.0
2024-05-22,1,49948.26154565811,0.05001392738784338
2024-05-23,3,149084.96913483532,0.150064783333696
2024-05-24,5,249936.20334119356,0.2486561757736577
2024-05-28,1,50015.8801574707,0.049849110558634974
2024-05-29,0,0.0,0.0
2024-05-30,1,50023.61787414551,0.05003579142855625
2024-05-31,1,50057.8378868103,0.050037629699292596
2024-06-03,3,149600.72346456317,0.15070205241097562
2024-06-04,2,99596.15846061707,0.10064518506239976
2024-06-05,12,599989.125091467,0.5957465140573482
2024-06-06,8,400348.4348977334,0.40187019836524374
2024-06-07,2,99983.86772514568,0.1017650794852668
2024-06-10,1,49720.301299095154,0.050363971980623284
2024-06-11,1,49720.301299095154,0.05043992421386414
2024-06-12,2,98999.89375972748,0.10031164402496658
2024-06-13,1,49279.592460632324,0.050035192652949666
2024-06-14,1,49279.592460632324,0.05005307319016121
2024-06-17,0,0.0,0.0
2024-06-18,0,0.0,0.0
2024-06-20,4,196308.7096967697,0.20014463927116646
2024-06-21,5,246225.76014089584,0.24889210019670302
2024-06-24,7,344488.3405814171,0.3500239265730089
2024-06-25,10,494154.2801852226,0.49611313953915553
2024-06-26,6,296942.34834480286,0.299851752891909
2024-06-27,3,148622.5005054474,0.14982732517510228
2024-06-28,1,49515.67323000404,0.049962128741710125
2024-07-01,3,148970.0782661438,0.1497200527746937
2024-07-02,1,50073.5,0.049925691628785754
2024-07-03,0,0.0,0.0
2024-07-05,1,50132.70109176636,0.04968559439402603
2024-07-08,0,0.0,0.0
2024-07-09,0,0.0,0.0
2024-07-10,1,50283.0,0.04998037135049136
2024-07-11,3,150753.0781135559,0.14968058179137542
2024-07-12,2,100393.84240722656,0.0994990110891081
2024-07-15,1,50504.580127716064,0.04996100435566073
2024-07-16,1,50355.5185546875,0.04983854373981548
2024-07-17,0,0.0,0.0
2024-07-18,0,0.0,0.0
2024-07-19,1,50013.60076904296,0.04989835007008958
2024-07-22,1,50013.60076904296,0.050086019721134176
2024-07-23,1,49885.16136169433,0.04991654041348725
2024-07-24,1,49885.16136169433,0.05007527969792971
2024-07-25,0,0.0,0.0
2024-07-26,2,99011.33889770508,0.10048951042885532
2024-07-29,1,49613.57913208008,0.050560958564133805
2024-07-30,0,0.0,0.0
2024-07-31,1,48911.03908538818,0.049980185738004765
2024-08-01,3,146753.66635131836,0.15029029969503516
2024-08-02,1,48960.27828979492,0.05036990112822685
2024-08-05,1,48960.27828979492,0.050335077175187336
2024-08-06,23,1123884.0557075818,1.1425792381664581
2024-08-07,19,928165.2788519614,0.9622932671171514
2024-08-08,11,539562.7085075259,0.5476579175733663
2024-08-09,3,147384.91633605957,0.1494352494512713
2024-08-12,1,48960.27828979492,0.0497464592220365
2024-08-13,0,0.0,0.0
2024-08-14,0,0.0,0.0
2024-08-15,0,0.0,0.0
2024-08-16,0,0.0,0.0
2024-08-19,0,0.0,0.0
2024-08-20,0,0.0,0.0
2024-08-21,0,0.0,0.0
2024-08-22,0,0.0,0.0
2024-08-23,0,0.0,0.0
2024-08-26,0,0.0,0.0
2024-08-27,0,0.0,0.0
2024-08-28,0,0.0,0.0
2024-08-29,1,49193.249387741096,0.04997058071725607
2024-08-30,0,0.0,0.0
2024-09-03,0,0.0,0.0
2024-09-04,2,98168.89138484001,0.09997025293237588
2024-09-05,1,49049.76051592826,0.050257789356607976
2024-09-06,0,0.0,0.0
2024-09-09,2,96900.02075958252,0.10011890479977002
2024-09-10,2,96706.55780029297,0.0998376058450375
2024-09-11,0,0.0,0.0
2024-09-12,1,48500.51667101232,0.04999110926176819
2024-09-13,0,0.0,0.0
2024-09-16,0,0.0,0.0
2024-09-17,0,0.0,0.0
2024-09-18,0,0.0,0.0
2024-09-19,0,0.0,0.0
2024-09-20,1,48596.23879623413,0.049992456602741736
2024-09-23,0,0.0,0.0
2024-09-24,0,0.0,0.0
2024-09-25,0,0.0,0.0
2024-09-26,1,48468.793236329984,0.04995574352602964
2024-09-27,1,48543.2862048183,0.05006941240893076
2024-09-30,0,0.0,0.0
2024-10-01,0,0.0,0.0
2024-10-02,1,48465.121337890625,0.050012258584247314
2024-10-03,1,48465.121337890625,0.04998058430107238
2024-10-04,4,194632.4542766218,0.19918420389494892
2024-10-07,1,48754.70175457001,0.05000437110785774
2024-10-08,1,48751.98032569885,0.049985066544911846
2024-10-09,1,48751.98032569885,0.0500369626236048
