date,open_positions,gross_exposure,exposure_pct
2024-05-21,0,0.0,0.0
2024-05-22,1,49948.26154565811,0.05001392738784338
2024-05-23,3,149084.96913483532,0.150064783333696
2024-05-24,6,298879.2807707543,0.29839396887788555
2024-05-28,0,0.0,0.0
2024-05-29,0,0.0,0.0
2024-05-30,1,50023.61787414551,0.050052962771462595
2024-05-31,2,100061.57576179504,0.10005547606831583
2024-06-03,3,149470.84803182646,0.15072244257564726
2024-06-04,2,99197.17043478058,0.10034231306531957
2024-06-05,13,646675.0177892861,0.6449601619362226
2024-06-06,12,597063.8110766006,0.6015061622165255
2024-06-07,1,49541.45129442215,0.05079920524183633
2024-06-10,0,0.0,0.0
2024-06-11,0,0.0,0.0
2024-06-12,1,48741.752433776855,0.04991507212510414
2024-06-13,1,48741.752433776855,0.04992396820858785
2024-06-14,0,0.0,0.0
2024-06-17,0,0.0,0.0
2024-06-18,0,0.0,0.0
2024-06-20,4,194709.8396987915,0.20012606292622437
2024-06-21,5,243489.30081939697,0.24952043580848082
2024-06-24,5,242777.45809173584,0.2500826274998891
2024-06-25,9,438453.9657115936,0.44801842523524926
2024-06-26,5,244424.16908836365,0.24985602662834
2024-06-27,2,97878.00109863281,0.10000229675843904
2024-06-28,1,48753.89364185013,0.0499802409074407
2024-07-01,3,146623.60829353333,0.14971851590987315
2024-07-02,3,146920.070936203,0.1488292090320743
2024-07-03,1,49251.5,0.049956158671111875
2024-07-05,1,49249.86107254028,0.04966731440672588
2024-07-08,1,49249.86107254028,0.049697834303937906
2024-07-09,0,0.0,0.0
2024-07-10,1,49377.0,0.04993259903076334
2024-07-11,3,148142.19894981384,0.14974628979312593
2024-07-12,3,148160.7799129486,0.14949355366438738
2024-07-15,2,99194.72085952759,0.09946338036868897
2024-07-16,2,99455.53870010376,0.09985915525473443
2024-07-17,0,0.0,0.0
2024-07-18,0,0.0,0.0
2024-07-19,1,49060.960754394524,0.049792319321995016
2024-07-22,1,49060.960754394524,0.04997955200922844
2024-07-23,1,49046.661338806145,0.049924043977797025
2024-07-24,1,49046.661338806145,0.05008283106581066
2024-07-25,0,0.0,0.0
2024-07-26,2,97337.8189163208,0.10049515559076819
2024-07-29,1,48776.219146728516,0.0505650729215385
2024-07-30,0,0.0,0.0
2024-07-31,1,48090.95910072327,0.0499899051388647
2024-08-01,3,144293.51641273499,0.15031979309893773
2024-08-02,1,48121.5583190918,0.050361069239604
2024-08-05,0,0.0,0.0
2024-08-06,22,1056921.6560584083,1.0925798647559315
2024-08-07,21,1008997.1538764015,1.0626365174248722
2024-08-08,7,339861.1412282654,0.3496874716844998
2024-08-09,6,291278.81124807446,0.2997566379879655
2024-08-12,0,0.0,0.0
2024-08-13,0,0.0,0.0
2024-08-14,0,0.0,0.0
2024-08-15,0,0.0,0.0
2024-08-16,0,0.0,0.0
2024-08-19,0,0.0,0.0
2024-08-20,0,0.0,0.0
2024-08-21,0,0.0,0.0
2024-08-22,0,0.0,0.0
2024-08-23,0,0.0,0.0
2024-08-26,0,0.0,0.0
2024-08-27,0,0.0,0.0
2024-08-28,0,0.0,0.0
2024-08-29,1,48304.39939880372,0.04995131469428271
2024-08-30,1,48304.39939880372,0.05004973527481715
2024-09-03,0,0.0,0.0
2024-09-04,2,96289.16135835648,0.09998022953063895
2024-09-05,1,48105.92050600051,0.050257963433901265
2024-09-06,0,0.0,0.0
2024-09-09,2,94970.33074569702,0.10005073094867944
2024-09-10,3,142353.04961776733,0.14978379888159205
2024-09-11,1,47382.71887207031,0.04971144180616413
2024-09-12,1,47648.3846065143,0.04998584306967731
2024-09-13,1,47648.3846065143,0.049870238349304166
2024-09-16,0,0.0,0.0
2024-09-17,0,0.0,0.0
2024-09-18,0,0.0,0.0
2024-09-19,0,0.0,0.0
2024-09-20,1,47863.19881439209,0.05001394758517653
2024-09-23,0,0.0,0.0
2024-09-24,0,0.0,0.0
2024-09-25,0,0.0,0.0
2024-09-26,1,47723.119494232604,0.04996201568627646
2024-09-27,2,95509.88695300178,0.10006442602445663
2024-09-30,1,47786.76745876918,0.050000038976097956
2024-10-01,0,0.0,0.0
2024-10-02,1,47713.38131713867,0.050036561373634464
2024-10-03,1,47713.38131713867,0.05000485338826575
2024-10-04,4,191544.1996004972,0.199208778560082
2024-10-07,3,143795.20367240906,0.14987719093383162
2024-10-08,1,48198.110321998596,0.04998606551095256
2024-10-09,1,48198.110321998596,0.05003796482978364
