strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_trail_1atr,CRWV,2025-07-14,130.393,125.67,4.723,2025-07-17,135.7625,trail_1atr,78,10170.66,418.82,0.041179,1.1369,-0.0853,3.514,3,98.0,entry=rsi2_next_open; setup_rsi2=3.77; raw_entry=open:130.3800; slippage_bps=1.0; decision_date=2025-07-11 00:00:00; filter_close=125.8400; filter_ma50=120.5175; filter_avg_value_10=1931.14; filter_adr20=8.74; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,SATS,2025-07-17,29.0129,28.57,0.4429,2025-07-18,28.5671,stop_loss,355,10299.58,-158.24,-0.015364,-1.0065,-1.2709,0.8966,1,91.0,entry=rsi2_next_open; setup_rsi2=2.82; raw_entry=open:29.0100; slippage_bps=1.0; decision_date=2025-07-16 00:00:00; filter_close=29.0900; filter_ma50=23.5746; filter_avg_value_10=88.16; filter_adr20=5.24; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,ASTS,2025-07-10,43.2843,42.44,0.8443,2025-07-22,55.6744,trail_1atr,237,10258.39,2936.46,0.286249,14.6745,-0.6198,20.9228,8,95.0,entry=rsi2_next_open; setup_rsi2=2.10; raw_entry=open:43.2800; slippage_bps=1.0; decision_date=2025-07-09 00:00:00; filter_close=42.5000; filter_ma50=33.2575; filter_avg_value_10=637.93; filter_adr20=8.13; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,TGB,2025-07-21,3.2903,3.17,0.1203,2025-07-24,3.4182,trail_1atr,3130,10298.73,400.33,0.038872,1.0629,-0.5845,2.7397,3,90.0,entry=rsi2_next_open; setup_rsi2=4.70; raw_entry=open:3.2900; slippage_bps=1.0; decision_date=2025-07-18 00:00:00; filter_close=3.2200; filter_ma50=2.7400; filter_avg_value_10=31.31; filter_adr20=5.46; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,RYTM,2025-07-28,86.8887,85.81,1.0787,2025-07-28,85.8014,same_day_stop_loss_red_candle,118,10252.86,-128.3,-0.012513,-1.008,-2.474,-0.0081,0,92.0,entry=rsi2_next_open; setup_rsi2=2.11; raw_entry=open:86.8800; slippage_bps=1.0; decision_date=2025-07-25 00:00:00; filter_close=86.4500; filter_ma50=69.7924; filter_avg_value_10=54.74; filter_adr20=4.14; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,GAME,2025-07-28,1.1701,1.1,0.0701,2025-07-28,1.0999,same_day_stop_loss_red_candle,8803,10300.54,-618.21,-0.060017,-1.0016,-1.2852,0.9254,0,91.0,entry=rsi2_next_open; setup_rsi2=3.20; raw_entry=open:1.1700; slippage_bps=1.0; decision_date=2025-07-25 00:00:00; filter_close=1.1300; filter_ma50=1.0347; filter_avg_value_10=58.00; filter_adr20=22.32; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,GAME,2025-07-29,1.0801,1.08,0.0001,2025-07-29,1.0799,same_day_stop_loss_red_candle,9531,10294.51,-2.06,-0.0002,-2.0,-1204.7042,184.185,0,92.0,entry=rsi2_next_open; setup_rsi2=2.91; raw_entry=open:1.0800; slippage_bps=1.0; decision_date=2025-07-28 00:00:00; filter_close=1.1200; filter_ma50=1.0438; filter_avg_value_10=57.64; filter_adr20=22.50; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,PCT,2025-07-29,15.1015,14.67,0.4315,2025-07-29,14.6685,same_day_stop_loss_red_candle,681,10284.13,-294.86,-0.028671,-1.0034,-2.6361,0.1819,0,92.0,entry=rsi2_next_open; setup_rsi2=1.89; raw_entry=open:15.1000; slippage_bps=1.0; decision_date=2025-07-28 00:00:00; filter_close=14.8600; filter_ma50=12.6356; filter_avg_value_10=57.75; filter_adr20=5.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,COIN,2025-07-29,383.6284,375.26,8.3683,2025-07-29,375.2225,same_day_stop_loss_red_candle,26,9974.34,-218.55,-0.021911,-1.0045,-2.1376,0.1376,0,90.0,entry=rsi2_next_open; setup_rsi2=1.73; raw_entry=open:383.5900; slippage_bps=1.0; decision_date=2025-07-28 00:00:00; filter_close=379.4900; filter_ma50=317.1470; filter_avg_value_10=5963.73; filter_adr20=4.96; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,RYTM,2025-07-29,85.9386,84.22,1.7186,2025-07-30,84.2116,stop_loss,119,10226.69,-205.51,-0.020096,-1.0049,-1.0466,0.67,1,93.0,entry=rsi2_next_open; setup_rsi2=0.97; raw_entry=open:85.9300; slippage_bps=1.0; decision_date=2025-07-28 00:00:00; filter_close=85.6800; filter_ma50=70.3604; filter_avg_value_10=53.77; filter_adr20=4.14; rs_bucket=rs90_100
