date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2024-05-21,999002.03,999002.03,0,0.0,0.0
2024-05-22,998687.0488758851,997508.3300000001,1,49948.26154565811,0.05001392738784338
2024-05-23,993470.7252621565,995247.02,3,149084.96913483532,0.150064783333696
2024-05-24,1001626.4132103401,992652.92,6,298879.2807707543,0.29839396887788555
2024-05-28,1000608.2733465906,992737.12,3,149713.97135967767,0.14962295970125342
2024-05-29,1000770.8500000001,1000770.8500000001,0,0.0,0.0
2024-05-30,999576.3030706787,999893.64,1,50023.61787414551,0.050044821711433075
2024-05-31,1000223.4631147766,998652.04,2,100081.45576095581,0.10005909624364746
2024-06-03,991857.6452947817,993691.0700000001,4,199542.50362176812,0.2011805873235607
2024-06-04,990089.5832460603,990536.77,3,149342.4460389129,0.15083730660945438
2024-06-05,1006105.0368994132,989687.0900000001,14,698707.396733285,0.6944676461282236
2024-06-06,996693.2110061052,987019.6000000001,13,648886.194384253,0.65103904312666
2024-06-07,980210.9522766981,977143.1900000001,7,349817.17301697645,0.35687947803936454
2024-06-10,986552.0403713608,986941.4400000001,1,49745.851299762726,0.05042395055109029
2024-06-11,985064.9400000001,985064.9400000001,0,0.0,0.0
2024-06-12,985767.659329834,985064.9400000001,1,49212.36245727539,0.04992288191999726
2024-06-13,985591.975308838,985064.9400000001,1,49212.36245727539,0.04993178078773882
2024-06-14,985240.6184362794,985064.9400000001,1,49212.36245727539,0.04994958747781084
2024-06-17,982902.38,982902.38,0,0.0,0.0
2024-06-18,981341.54,981341.54,0,0.0,0.0
2024-06-20,981526.0927574157,979867.2,4,196456.52969646454,0.2001541590652535
2024-06-21,984446.3140725517,977725.19,5,245554.81082439423,0.24943443569671117
2024-06-24,979362.2407797623,974790.13,8,392236.74705791473,0.4005022153453846
2024-06-25,985822.3580718994,977389.35,9,442090.3956718445,0.4484483355971942
2024-06-26,985235.7338134765,976501.95,8,392812.84491539,0.39869934822091707
2024-06-27,986221.6922720337,982824.59,5,246377.8079738617,0.24981990348058808
2024-06-28,982720.5733133625,982410.2599999999,1,49112.37815392256,0.049975933635269455
2024-07-01,986614.2412278365,980855.4699999999,3,147714.96828079224,0.14971907165759304
