strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,CORT,2024-11-18,52.0,51.51,0.49,2024-11-20,56.09,rsi2_gt_80,995,51740.0,4069.55,0.078654,8.3469,-0.6327,8.4285,2,94.0,entry=rsi2_next_open; setup_rsi2=4.36; raw_entry=open:52.0000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=51.5099983215332; decision_date=2024-11-15 00:00:00; filter_close=51.8300; filter_ma50=46.4612; filter_avg_value_10=63.52; filter_adr20=5.53; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,HRI,2024-11-20,210.1391,208.2416,1.8975,2024-11-20,208.2416,same_day_stop_loss_red_candle,247,51904.35,-468.69,-0.00903,-1.0,-2.159,0.2308,0,92.0,entry=rsi2_next_open; setup_rsi2=2.97; raw_entry=open:210.1391; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=208.24155282156636; decision_date=2024-11-19 00:00:00; filter_close=209.7498; filter_ma50=177.8770; filter_avg_value_10=90.08; filter_adr20=3.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,LBRDK,2024-11-20,81.0861,80.927,0.1592,2024-11-20,80.927,same_day_stop_loss_red_candle,641,51976.22,-102.03,-0.001963,-1.0,-2.1176,8.588,0,90.0,entry=rsi2_next_open; setup_rsi2=1.64; raw_entry=open:81.0861; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=80.92696380615234; decision_date=2024-11-19 00:00:00; filter_close=81.1049; filter_ma50=74.5180; filter_avg_value_10=205.23; filter_adr20=3.35; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,AGX,2024-11-18,135.9776,125.6091,10.3685,2024-11-21,152.4405,rsi2_gt_80,380,51671.47,6255.91,0.121071,1.5878,-0.2328,1.7891,3,97.0,entry=rsi2_next_open; setup_rsi2=1.87; raw_entry=open:135.9776; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=125.60908114122164; decision_date=2024-11-15 00:00:00; filter_close=135.1762; filter_ma50=116.1938; filter_avg_value_10=49.19; filter_adr20=5.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,CRDO,2024-11-18,40.15,39.18,0.97,2024-11-21,46.28,rsi2_gt_80,1290,51793.5,7907.7,0.152677,6.3196,-0.2062,7.6082,3,93.0,entry=rsi2_next_open; setup_rsi2=2.28; raw_entry=open:40.1500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=39.18000030517578; decision_date=2024-11-15 00:00:00; filter_close=39.7600; filter_ma50=35.6163; filter_avg_value_10=119.13; filter_adr20=5.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,TVTX,2024-11-19,17.39,16.86,0.53,2024-11-21,18.26,rsi2_gt_80,3010,52343.9,2618.7,0.050029,1.6415,-0.783,2.3585,2,96.0,entry=rsi2_next_open; setup_rsi2=4.51; raw_entry=open:17.3900; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=16.860000610351562; decision_date=2024-11-18 00:00:00; filter_close=17.3900; filter_ma50=16.3605; filter_avg_value_10=28.73; filter_adr20=6.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,VSCO,2024-11-22,34.69,34.5,0.19,2024-11-25,37.4,rsi2_gt_80,1516,52590.04,4108.36,0.078121,14.2633,0.0,24.737,1,92.0,entry=rsi2_next_open; setup_rsi2=4.15; raw_entry=open:34.6900; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=34.5; decision_date=2024-11-21 00:00:00; filter_close=34.9700; filter_ma50=28.9778; filter_avg_value_10=64.86; filter_adr20=4.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,LUMN,2024-11-20,7.75,7.35,0.4,2024-11-27,7.35,stop_loss,6728,52142.0,-2691.2,-0.051613,-1.0,-1.175,1.35,5,98.0,entry=rsi2_next_open; setup_rsi2=2.15; raw_entry=open:7.7500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=7.349999904632568; decision_date=2024-11-19 00:00:00; filter_close=7.7400; filter_ma50=7.0304; filter_avg_value_10=193.83; filter_adr20=8.24; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,EWTX,2024-11-19,30.37,29.821,0.549,2024-11-29,33.0,rsi2_gt_80,1723,52327.51,4531.49,0.086599,4.7905,-0.7468,6.5027,8,91.0,entry=rsi2_next_open; setup_rsi2=1.19; raw_entry=open:30.3700; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=29.82099914550781; decision_date=2024-11-18 00:00:00; filter_close=30.7900; filter_ma50=29.7803; filter_avg_value_10=29.34; filter_adr20=5.01; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_80_setup_low_stop,LUMN,2024-12-02,7.3,7.29,0.01,2024-12-02,7.29,same_day_stop_loss_red_candle,7217,52684.1,-72.17,-0.00137,-1.0,-31.9993,3.9999,0,97.0,entry=rsi2_next_open; setup_rsi2=4.84; raw_entry=open:7.3000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=7.289999961853027; decision_date=2024-11-29 00:00:00; filter_close=7.3400; filter_ma50=7.2354; filter_avg_value_10=96.15; filter_adr20=8.33; rs_bucket=rs90_100
