strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,ANDE,2026-04-10,75.019997,73.830002,1.189995,2026-04-10,73.830002,same_day_stop_loss,161,12078.22,-191.59,-0.015862,-1.0,-1.865549,0.0,0,91.0,"buy_stop=pivot_high_1_1:75.0200; entry=max(open,pivot)"
breakout,AHG,2026-04-13,2.399,2.21,0.189,2026-04-13,2.21,same_day_stop_loss,5106,12249.29,-965.03,-0.078783,-1.0,-1.05291,0.322752,0,93.0,"buy_stop=pivot_high_1_1:2.3990; entry=max(open,pivot)"
breakout,APEI,2026-04-13,58.619999,56.59,2.029999,2026-04-13,56.59,same_day_stop_loss,208,12192.96,-422.24,-0.03463,-1.0,-1.285715,0.251233,0,92.0,"buy_stop=pivot_high_1_1:58.6200; entry=max(open,pivot)"
breakout,AGCC,2026-04-13,16.0,14.8,1.2,2026-04-13,14.8,same_day_stop_loss,764,12224.0,-916.8,-0.075,-1.0,-2.441667,0.191666,0,92.0,"buy_stop=pivot_high_1_1:16.0000; entry=max(open,pivot)"
breakout,AA,2026-03-30,64.0,57.41,6.59,2026-04-14,71.709999,ma10_break,181,11584.0,1395.51,0.120469,1.169954,-0.283763,1.775417,15,93.0,"buy_stop=pivot_high_1_1:59.3300; entry=max(open,pivot)"
breakout,ALLO,2026-04-01,2.51,2.26,0.25,2026-04-14,2.26,stop_loss,4652,11676.52,-1163.0,-0.099602,-1.0,-1.08,7.8,13,93.0,"buy_stop=pivot_high_1_1:2.5100; entry=max(open,pivot)"
breakout,ANNX,2026-04-08,6.24,5.46,0.78,2026-04-14,5.784,ma10_break,1937,12086.88,-883.27,-0.073077,-0.584615,-0.666667,0.166667,6,91.0,"buy_stop=pivot_high_1_1:6.1000; entry=max(open,pivot)"
breakout,ANDG,2026-04-13,29.809999,27.01,2.799999,2026-04-14,28.941,ma10_break,411,12251.91,-357.16,-0.029151,-0.310357,-0.553571,0.603572,1,96.0,"buy_stop=pivot_high_1_1:29.8100; entry=max(open,pivot)"
breakout,AGRO,2026-04-13,14.581949,13.779,0.802949,2026-04-14,13.779,stop_loss,840,12248.84,-674.48,-0.055065,-1.0,-1.48148,0.222223,1,94.0,"buy_stop=pivot_high_1_1:14.5819; entry=max(open,pivot)"
breakout,AGX,2026-03-27,505.189198,398.625879,106.563318,2026-04-15,590.119153,ma10_break,23,11619.35,1953.39,0.168115,0.796991,-0.043882,1.062073,19,97.0,"buy_stop=pivot_high_1_1:492.1998; entry=max(open,pivot)"
breakout,ARIS,2026-03-31,17.99,16.985001,1.004999,2026-04-15,20.285,ma10_break,648,11657.52,1487.16,0.127571,2.283584,-0.36219,3.820899,15,90.0,"buy_stop=pivot_high_1_1:17.9900; entry=max(open,pivot)"
breakout,ANL,2026-04-01,7.55,6.44,1.11,2026-04-15,11.106,ma10_break,1544,11657.2,5490.46,0.470993,3.203603,-0.792793,7.423422,14,99.0,"buy_stop=pivot_high_1_1:7.5500; entry=max(open,pivot)"
breakout,AIXI,2026-04-06,0.27,0.084,0.186,2026-04-15,1.0144,ma10_break,42728,11536.56,31806.72,2.757037,4.00215,-0.215054,13.118279,9,99.0,"buy_stop=pivot_high_1_1:0.1360; entry=max(open,pivot)"
