strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_3d_close,KSS,2025-12-31,20.1516,,,2026-01-05,21.1772,hold_3d_close,11903,239864.05,12207.98,0.050895,,,,3,91.0,entry=rsi2_next_open; setup_rsi2=3.48; raw_entry=open:20.1495; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-30 00:00:00; filter_close=20.1495; filter_ma50=19.2323; filter_avg_value_10=80.94; filter_adr20=4.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,RIVN,2025-12-31,19.622,,,2026-01-05,19.588,hold_3d_close,12228,239937.36,-414.79,-0.001729,,,,3,91.0,entry=rsi2_next_open; setup_rsi2=4.06; raw_entry=open:19.6200; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-30 00:00:00; filter_close=19.5900; filter_ma50=16.4622; filter_avg_value_10=863.62; filter_adr20=6.34; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,OLMA,2026-01-02,25.0425,,,2026-01-07,27.0673,hold_3d_close,9565,239531.56,19367.1,0.080854,,,,3,99.0,entry=rsi2_next_open; setup_rsi2=0.83; raw_entry=open:25.0400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=25.0000; filter_ma50=19.8696; filter_avg_value_10=55.32; filter_adr20=8.13; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,ARWR,2026-01-02,66.3066,,,2026-01-07,65.6834,hold_3d_close,3616,239764.79,-2253.49,-0.009399,,,,3,98.0,entry=rsi2_next_open; setup_rsi2=3.67; raw_entry=open:66.3000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=66.3900; filter_ma50=52.4775; filter_avg_value_10=110.77; filter_adr20=5.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,IDR,2026-01-02,40.9641,,,2026-01-07,49.1951,hold_3d_close,5866,240295.38,48282.96,0.200932,,,,3,96.0,entry=rsi2_next_open; setup_rsi2=4.91; raw_entry=open:40.9600; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=40.3000; filter_ma50=37.2720; filter_avg_value_10=38.82; filter_adr20=7.93; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,MDB,2026-01-02,422.5422,,,2026-01-07,440.5559,hold_3d_close,568,240004.0,10231.78,0.042632,,,,3,94.0,entry=rsi2_next_open; setup_rsi2=4.60; raw_entry=open:422.5000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=419.6900; filter_ma50=375.8404; filter_avg_value_10=472.61; filter_adr20=2.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,SITM,2026-01-02,365.6066,,,2026-01-07,342.6957,hold_3d_close,653,238741.09,-14960.77,-0.062665,,,,3,94.0,entry=rsi2_next_open; setup_rsi2=2.47; raw_entry=open:365.5700; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=353.1900; filter_ma50=317.6198; filter_avg_value_10=97.08; filter_adr20=4.98; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,TER,2026-01-02,199.2266,,,2026-01-07,222.3648,hold_3d_close,1201,239271.18,27788.91,0.11614,,,,3,93.0,entry=rsi2_next_open; setup_rsi2=4.42; raw_entry=open:199.2067; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=193.4791; filter_ma50=179.9791; filter_avg_value_10=488.50; filter_adr20=2.93; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,ENVA,2026-01-02,158.0158,,,2026-01-07,163.2837,hold_3d_close,1521,240342.03,8012.43,0.033338,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=3.19; raw_entry=open:158.0000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=157.2000; filter_ma50=135.9548; filter_avg_value_10=40.78; filter_adr20=3.20; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,APP,2026-01-02,683.4383,,,2026-01-07,632.8567,hold_3d_close,352,240570.29,-17804.74,-0.074011,,,,3,91.0,entry=rsi2_next_open; setup_rsi2=1.93; raw_entry=open:683.3700; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=673.8200; filter_ma50=633.6743; filter_avg_value_10=2114.82; filter_adr20=3.96; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,FROG,2026-01-02,62.9863,,,2026-01-07,62.9537,hold_3d_close,3789,238655.08,-123.5,-0.000517,,,,3,90.0,entry=rsi2_next_open; setup_rsi2=1.66; raw_entry=open:62.9800; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=62.4600; filter_ma50=59.5122; filter_avg_value_10=105.50; filter_adr20=3.81; rs_bucket=rs90_100
