strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_5_day_low,DJT,2024-05-21,48.1848,,,2024-05-22,42.2058,5_day_low,2075,99983.5,-12406.51,-0.124086,,,,1,97.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:48.1800; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-20 00:00:00; filter_close=48.3800; filter_ma50=43.3610; filter_avg_value_10=218.38; filter_adr20=10.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,IBRX,2024-05-21,6.9707,,,2024-05-24,6.4993,5_day_low,14226,99165.13,-6705.38,-0.067618,,,,3,97.0,entry=rsi2_next_open; setup_rsi2=2.34; raw_entry=open:6.9700; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-20 00:00:00; filter_close=7.0400; filter_ma50=6.3470; filter_avg_value_10=46.58; filter_adr20=15.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,TWST,2024-05-24,41.9042,,,2024-05-28,41.2159,5_day_low,2388,100067.21,-1643.69,-0.016426,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=2.26; raw_entry=open:41.9000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=41.3600; filter_ma50=35.9376; filter_avg_value_10=44.25; filter_adr20=6.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,CVNA,2024-05-28,22.1522,,,2024-05-29,20.5979,5_day_low,4590,101678.67,-7134.12,-0.070163,,,,1,98.0,entry=rsi2_next_open; setup_rsi2=4.56; raw_entry=open:22.1500; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-24 00:00:00; filter_close=21.8300; filter_ma50=18.6353; filter_avg_value_10=368.62; filter_adr20=5.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,WING,2024-05-23,377.4063,,,2024-05-31,373.2409,5_day_low,258,97370.83,-1074.67,-0.011037,,,,6,90.0,entry=rsi2_next_open; setup_rsi2=4.90; raw_entry=open:377.3686; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=374.9026; filter_ma50=365.1281; filter_avg_value_10=130.91; filter_adr20=3.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,TME,2024-05-24,13.7353,,,2024-05-31,13.6373,5_day_low,7265,99787.08,-712.3,-0.007138,,,,5,95.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:13.7339; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=13.8197; filter_ma50=11.8426; filter_avg_value_10=130.25; filter_adr20=3.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,CVNA,2024-05-29,20.6021,,,2024-05-31,20.306,5_day_low,4911,101176.72,-1454.1,-0.014372,,,,2,97.0,entry=rsi2_next_open; setup_rsi2=1.44; raw_entry=open:20.6000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-28 00:00:00; filter_close=20.9180; filter_ma50=18.7353; filter_avg_value_10=351.08; filter_adr20=5.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,KD,2024-05-30,26.5827,,,2024-05-31,26.3274,5_day_low,3908,103885.03,-997.68,-0.009604,,,,1,94.0,entry=rsi2_next_open; setup_rsi2=1.90; raw_entry=open:26.5800; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-29 00:00:00; filter_close=26.7100; filter_ma50=22.8092; filter_avg_value_10=47.62; filter_adr20=3.78; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,EMBJ,2024-05-30,28.3703,,,2024-05-31,27.8852,5_day_low,3662,103892.09,-1776.35,-0.017098,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=2.24; raw_entry=open:28.3675; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-29 00:00:00; filter_close=28.0878; filter_ma50=26.5070; filter_avg_value_10=49.43; filter_adr20=3.42; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,SE,2024-05-30,67.2367,,,2024-05-31,65.7934,5_day_low,1543,103746.27,-2227.02,-0.021466,,,,1,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:67.2300; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-29 00:00:00; filter_close=68.0700; filter_ma50=61.3886; filter_avg_value_10=402.44; filter_adr20=3.62; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,IAG,2024-05-23,4.0304,,,2024-06-03,3.9296,5_day_low,24332,98067.77,-2452.57,-0.025009,,,,7,92.0,entry=rsi2_next_open; setup_rsi2=4.59; raw_entry=open:4.0300; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=4.0100; filter_ma50=3.6524; filter_avg_value_10=49.50; filter_adr20=4.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,DJT,2024-05-22,43.5143,,,2024-06-04,45.3075,5_day_low,2268,98690.54,4066.8,0.041208,,,,9,95.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:43.5100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-21 00:00:00; filter_close=44.1900; filter_ma50=43.4630; filter_avg_value_10=220.86; filter_adr20=10.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,MOD,2024-05-23,98.8199,,,2024-06-04,95.1505,5_day_low,994,98226.96,-3647.37,-0.037132,,,,8,93.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:98.8100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=96.7500; filter_ma50=95.3636; filter_avg_value_10=99.40; filter_adr20=5.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,KD,2024-05-31,26.6427,,,2024-06-04,25.9574,5_day_low,3826,101934.83,-2621.81,-0.02572,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=1.58; raw_entry=open:26.6400; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-30 00:00:00; filter_close=26.6400; filter_ma50=22.9040; filter_avg_value_10=46.22; filter_adr20=3.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,ONTO,2024-06-03,220.4821,,,2024-06-04,208.5691,5_day_low,456,100539.82,-5432.29,-0.054031,,,,1,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:220.4600; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-31 00:00:00; filter_close=216.7000; filter_ma50=199.0390; filter_avg_value_10=96.24; filter_adr20=3.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,GGAL,2024-05-24,27.3806,,,2024-06-05,28.537,5_day_low,3657,100130.84,4229.03,0.042235,,,,8,94.0,entry=rsi2_next_open; setup_rsi2=2.53; raw_entry=open:27.3779; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=27.2810; filter_ma50=26.4373; filter_avg_value_10=28.56; filter_adr20=5.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,VRT,2024-06-04,93.7227,,,2024-06-06,88.8966,5_day_low,1056,98971.2,-5096.38,-0.051494,,,,2,96.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:93.7134; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-03 00:00:00; filter_close=95.8679; filter_ma50=90.0849; filter_avg_value_10=872.77; filter_adr20=4.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,OSCR,2024-05-31,19.882,,,2024-06-07,18.6481,5_day_low,5125,101895.18,-6323.49,-0.062059,,,,5,97.0,entry=rsi2_next_open; setup_rsi2=3.28; raw_entry=open:19.8800; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-30 00:00:00; filter_close=19.8500; filter_ma50=17.6132; filter_avg_value_10=61.11; filter_adr20=5.78; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,SMTC,2024-06-04,37.9438,,,2024-06-07,30.167,5_day_low,2603,98767.69,-20243.04,-0.204956,,,,3,94.0,entry=rsi2_next_open; setup_rsi2=4.47; raw_entry=open:37.9400; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-03 00:00:00; filter_close=38.1800; filter_ma50=35.2882; filter_avg_value_10=50.50; filter_adr20=4.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,KD,2024-06-04,26.3726,,,2024-06-07,25.9474,5_day_low,3740,98633.67,-1590.37,-0.016124,,,,3,93.0,entry=rsi2_next_open; setup_rsi2=0.74; raw_entry=open:26.3700; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-03 00:00:00; filter_close=26.5100; filter_ma50=23.0728; filter_avg_value_10=45.13; filter_adr20=3.74; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,CLS,2024-06-05,53.8654,,,2024-06-07,51.8848,5_day_low,1894,102021.04,-3751.21,-0.036769,,,,2,96.0,entry=rsi2_next_open; setup_rsi2=2.43; raw_entry=open:53.8600; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-04 00:00:00; filter_close=52.7100; filter_ma50=48.3554; filter_avg_value_10=138.25; filter_adr20=4.00; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,CRS,2024-06-05,103.5256,,,2024-06-07,102.9591,5_day_low,994,102904.46,-563.11,-0.005472,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=1.93; raw_entry=open:103.5153; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-04 00:00:00; filter_close=103.6542; filter_ma50=90.7343; filter_avg_value_10=49.92; filter_adr20=3.01; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,PAAS,2024-06-05,19.8949,,,2024-06-07,19.7049,5_day_low,5198,103413.9,-987.92,-0.009553,,,,2,90.0,entry=rsi2_next_open; setup_rsi2=3.58; raw_entry=open:19.8930; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-04 00:00:00; filter_close=19.7950; filter_ma50=18.6591; filter_avg_value_10=97.25; filter_adr20=3.83; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,BZFD,2024-06-06,2.5303,,,2024-06-07,2.4998,5_day_low,40331,102047.63,-1230.22,-0.012055,,,,1,98.0,entry=rsi2_next_open; setup_rsi2=2.84; raw_entry=open:2.5300; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-05 00:00:00; filter_close=2.5600; filter_ma50=1.9733; filter_avg_value_10=26.01; filter_adr20=15.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,BMA,2024-06-07,50.2863,,,2024-06-10,49.4902,5_day_low,1942,97655.94,-1545.9,-0.01583,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=4.41; raw_entry=open:50.2812; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-06 00:00:00; filter_close=50.7140; filter_ma50=49.8472; filter_avg_value_10=25.88; filter_adr20=5.56; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,JXN,2024-06-05,68.6452,,,2024-06-11,67.4092,5_day_low,1503,103173.68,-1857.64,-0.018005,,,,4,93.0,entry=rsi2_next_open; setup_rsi2=4.30; raw_entry=open:68.6383; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-04 00:00:00; filter_close=68.0225; filter_ma50=65.8381; filter_avg_value_10=35.12; filter_adr20=2.89; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,PRCT,2024-05-29,63.7164,,,2024-06-12,66.7433,5_day_low,1591,101372.74,4815.89,0.047507,,,,10,94.0,entry=rsi2_next_open; setup_rsi2=4.37; raw_entry=open:63.7100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-28 00:00:00; filter_close=64.4800; filter_ma50=55.6316; filter_avg_value_10=41.40; filter_adr20=5.47; rs_bucket=rs90_100
rs90_100_rsi2_next_open_5_day_low,HBM,2024-06-05,9.111,,,2024-06-13,8.9396,5_day_low,11253,102525.97,-1929.16,-0.018816,,,,6,94.0,entry=rsi2_next_open; setup_rsi2=2.48; raw_entry=open:9.1101; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-06-04 00:00:00; filter_close=8.9804; filter_ma50=8.4134; filter_avg_value_10=56.03; filter_adr20=3.94; rs_bucket=rs90_100
