date,open_positions,gross_exposure,exposure_pct
2024-05-21,2,199148.63052027102,0.20129167342671286
2024-05-22,2,197855.67679782456,0.19993573331888062
2024-05-23,5,490759.351242656,0.5024786345540346
2024-05-24,8,791447.6677195295,0.784940735109918
2024-05-28,7,695500.9272583715,0.687590076358032
2024-05-29,3,299838.6574747927,0.2976067264240235
2024-05-30,6,601779.569841035,0.598344194572132
2024-05-31,5,501708.6963829726,0.5002089928231888
2024-06-03,6,601699.7464290846,0.6032290609344454
2024-06-04,9,897182.0316981999,0.9071847895291906
2024-06-05,17,1721014.6194096447,1.6568548419643112
2024-06-06,15,1517776.2466446545,1.4820742207744717
2024-06-07,5,504197.05997987883,0.5105215120645737
2024-06-10,2,202978.5599407913,0.20558043904009773
2024-06-11,3,301772.2815868362,0.30509902718966797
2024-06-12,3,298081.93753745116,0.30033784733991964
2024-06-13,4,397543.8827374512,0.40099230010479564
2024-06-14,2,196889.98945944215,0.20007521210025694
2024-06-17,4,390514.2893302109,0.4014630049139223
2024-06-18,7,680498.3938556234,0.70034231204252
2024-06-20,9,866491.4022063671,0.9043072460190249
2024-06-21,11,1059757.9084888545,1.0952765998740275
2024-06-24,12,1155933.9283197862,1.2064939867352402
2024-06-25,12,1161222.0088294365,1.192724927035126
2024-06-26,9,871546.8202766846,0.8990990162739778
2024-06-27,7,675720.1049151717,0.7010311536676279
2024-06-28,4,382868.77261367696,0.4007298548447114
2024-07-01,6,576841.741581247,0.5963712355501596
2024-07-02,6,579313.968294679,0.5898655956608096
2024-07-03,5,485469.08154001285,0.4947209096260464
2024-07-05,4,392807.70538226294,0.39807527540155374
2024-07-08,4,393337.4387700939,0.398826552166508
2024-07-09,5,491371.3984477054,0.5006399194088119
2024-07-10,5,491820.21025163046,0.5017097765066044
2024-07-11,7,688022.8279133375,0.6978728567204592
2024-07-12,8,787458.6945703801,0.7961370265696813
2024-07-15,6,590333.3893377561,0.5863054017405013
2024-07-16,7,696069.0713457762,0.6818975350532733
2024-07-17,3,296714.21317226044,0.2966044785931141
2024-07-18,5,495909.81399251404,0.5013256098803487
2024-07-19,5,494704.1149548992,0.5035815545298149
2024-07-22,5,494811.02258291695,0.5036789873035812
2024-07-23,5,495055.9057514177,0.496239602771255
2024-07-24,1,99040.84084363765,0.10150302942606805
2024-07-25,4,388681.30441243976,0.40057635486893306
2024-07-26,6,587127.295765221,0.5974111224429479
2024-07-29,2,193334.41214885694,0.20330339586352952
2024-07-30,2,188896.00680341994,0.20100295803826557
2024-07-31,4,374094.24884923734,0.3961608194962554
2024-08-01,4,373263.22519414115,0.3976858463145623
2024-08-02,4,369584.7147900839,0.39984481461647847
2024-08-05,16,1513685.382639676,1.5392084327204443
2024-08-06,31,2947472.1436978756,3.0653982060277096
2024-08-07,25,2362185.1094306353,2.5885408919443997
2024-08-08,24,2271843.1325375363,2.3339028994619357
2024-08-09,18,1704407.577802874,1.6885459057163617
2024-08-12,8,752101.4014540911,0.7509024494691477
2024-08-13,6,560966.2959429568,0.5533076496563304
2024-08-14,3,276127.3225561584,0.2719890146090947
2024-08-15,2,184076.13571807952,0.1812436656250101
2024-08-16,2,184076.13571807952,0.18116129994707014
2024-08-19,2,184076.13571807952,0.17990719630039015
2024-08-20,1,92517.49116140556,0.09078597194054107
2024-08-21,1,92517.49116140556,0.09085693706548478
2024-08-22,0,0.0,0.0
2024-08-23,0,0.0,0.0
2024-08-26,0,0.0,0.0
2024-08-27,2,203318.35451026494,0.1996469344454594
2024-08-28,2,203306.28862751252,0.20016380164290776
2024-08-29,3,305069.92568175215,0.3001311744080964
2024-08-30,4,404644.5616965399,0.40338823867462903
2024-09-03,3,297497.16969399346,0.3047753442160027
2024-09-04,4,394665.3975881334,0.399477511361176
2024-09-05,2,194721.21346236893,0.20062558309437317
2024-09-06,2,193203.87827424964,0.2015783060688828
2024-09-09,7,672485.9064627816,0.7036952128253394
2024-09-10,4,377633.85563300276,0.4021158426239612
2024-09-11,2,187273.92092359316,0.19971095675767495
2024-09-12,3,281337.40295022406,0.2991109630377194
2024-09-13,3,281337.40295022406,0.29561476312107976
2024-09-16,3,281337.40295022406,0.2936802969484817
2024-09-17,2,187639.47632467165,0.1955731986720393
2024-09-18,2,187639.47632467165,0.19580790440065735
2024-09-19,1,93575.99429804078,0.09741795214652635
2024-09-20,1,95822.21889041062,0.10006541063328286
2024-09-23,0,0.0,0.0
2024-09-24,2,191291.78655049586,0.1998015651622747
2024-09-25,1,95706.5697,0.10013405796754689
2024-09-26,4,381738.1014724083,0.4010207640089166
2024-09-27,8,764173.2702027824,0.7996839357912278
2024-09-30,5,476259.9489484801,0.5001835800919058
