strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_3_day_low,DJT,2024-05-21,48.1848,47.84,0.3448,2024-05-21,47.8352,same_day_stop_loss_red_candle,207,9974.26,-72.37,-0.007255,-1.0139,-17.3274,0.595,0,97.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:48.1800; slippage_bps=1.0; decision_date=2024-05-20 00:00:00; filter_close=48.3800; filter_ma50=43.3610; filter_avg_value_10=218.38; filter_adr20=10.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,IBRX,2024-05-21,6.9707,6.88,0.0907,2024-05-21,6.8793,same_day_stop_loss_red_candle,1434,9995.98,-131.05,-0.01311,-1.0076,-5.1898,0.8303,0,97.0,entry=rsi2_next_open; setup_rsi2=2.34; raw_entry=open:6.9700; slippage_bps=1.0; decision_date=2024-05-20 00:00:00; filter_close=7.0400; filter_ma50=6.3470; filter_avg_value_10=46.58; filter_adr20=15.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,JMIA,2024-05-23,5.7506,5.66,0.0906,2024-05-23,5.6594,same_day_stop_loss_red_candle,1738,9994.5,-158.4,-0.015849,-1.0062,-2.2145,1.4289,0,93.0,entry=rsi2_next_open; setup_rsi2=4.96; raw_entry=open:5.7500; slippage_bps=1.0; decision_date=2024-05-22 00:00:00; filter_close=5.7000; filter_ma50=5.3830; filter_avg_value_10=27.41; filter_adr20=9.64; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,IAG,2024-05-23,4.0304,3.91,0.1204,2024-05-23,3.9096,same_day_stop_loss_red_candle,2479,9991.37,-299.45,-0.029971,-1.0032,-1.4983,0.2458,0,92.0,entry=rsi2_next_open; setup_rsi2=4.59; raw_entry=open:4.0300; slippage_bps=1.0; decision_date=2024-05-22 00:00:00; filter_close=4.0100; filter_ma50=3.6524; filter_avg_value_10=49.50; filter_adr20=4.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,IBRX,2024-05-22,6.7807,6.5,0.2807,2024-05-24,6.4993,stop_loss,1474,9994.72,-414.68,-0.04149,-1.0023,-1.4988,1.4227,2,97.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:6.7800; slippage_bps=1.0; decision_date=2024-05-21 00:00:00; filter_close=6.8050; filter_ma50=6.3803; filter_avg_value_10=41.99; filter_adr20=14.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,TWST,2024-05-24,41.9042,41.22,0.6842,2024-05-28,41.2159,stop_loss,238,9973.2,-163.82,-0.016426,-1.006,-1.0146,2.2009,2,94.0,entry=rsi2_next_open; setup_rsi2=2.26; raw_entry=open:41.9000; slippage_bps=1.0; decision_date=2024-05-23 00:00:00; filter_close=41.3600; filter_ma50=35.9376; filter_avg_value_10=44.25; filter_adr20=6.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,CVNA,2024-05-28,22.1522,21.714,0.4382,2024-05-28,21.7118,same_day_stop_loss_red_candle,452,10012.8,-199.05,-0.01988,-1.005,-3.4007,0.1136,0,98.0,entry=rsi2_next_open; setup_rsi2=4.56; raw_entry=open:22.1500; slippage_bps=1.0; decision_date=2024-05-24 00:00:00; filter_close=21.8300; filter_ma50=18.6353; filter_avg_value_10=368.62; filter_adr20=5.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,MOD,2024-05-23,98.8199,85.77,13.0499,2024-05-29,95.6904,3_day_low,101,9980.81,-316.07,-0.031668,-0.2398,-0.2659,0.5081,4,93.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:98.8100; slippage_bps=1.0; decision_date=2024-05-22 00:00:00; filter_close=96.7500; filter_ma50=95.3636; filter_avg_value_10=99.40; filter_adr20=5.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,EMBJ,2024-05-30,28.3703,27.9879,0.3824,2024-05-30,27.9851,same_day_stop_loss_red_candle,354,10043.09,-136.36,-0.013578,-1.0073,-1.2612,0.0187,0,92.0,entry=rsi2_next_open; setup_rsi2=2.24; raw_entry=open:28.3675; slippage_bps=1.0; decision_date=2024-05-29 00:00:00; filter_close=28.0878; filter_ma50=26.5070; filter_avg_value_10=49.43; filter_adr20=3.42; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,SE,2024-05-30,67.2367,66.95,0.2867,2024-05-30,66.9433,same_day_stop_loss_red_candle,149,10018.27,-43.72,-0.004364,-1.0233,-3.0228,0.9182,0,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:67.2300; slippage_bps=1.0; decision_date=2024-05-29 00:00:00; filter_close=68.0700; filter_ma50=61.3886; filter_avg_value_10=402.44; filter_adr20=3.62; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,WING,2024-05-23,377.4063,370.2279,7.1784,2024-05-31,370.1909,stop_loss,26,9812.56,-187.6,-0.019119,-1.0052,-2.6266,1.8187,6,90.0,entry=rsi2_next_open; setup_rsi2=4.90; raw_entry=open:377.3686; slippage_bps=1.0; decision_date=2024-05-22 00:00:00; filter_close=374.9026; filter_ma50=365.1281; filter_avg_value_10=130.91; filter_adr20=3.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,TME,2024-05-24,13.7353,13.6386,0.0967,2024-05-31,13.6373,stop_loss,728,9999.31,-71.38,-0.007138,-1.0141,-2.1019,8.5623,5,95.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:13.7339; slippage_bps=1.0; decision_date=2024-05-23 00:00:00; filter_close=13.8197; filter_ma50=11.8426; filter_avg_value_10=130.25; filter_adr20=3.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,IAG,2024-05-24,3.9504,3.85,0.1004,2024-05-31,3.9796,3_day_low,2535,10014.25,74.04,0.007393,0.2909,-0.2031,2.1874,5,91.0,entry=rsi2_next_open; setup_rsi2=3.00; raw_entry=open:3.9500; slippage_bps=1.0; decision_date=2024-05-23 00:00:00; filter_close=3.8700; filter_ma50=3.6672; filter_avg_value_10=51.47; filter_adr20=4.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,KD,2024-05-31,26.6427,26.33,0.3127,2024-05-31,26.3274,same_day_stop_loss_red_candle,376,10017.64,-118.55,-0.011834,-1.0084,-2.1834,0.2473,0,93.0,entry=rsi2_next_open; setup_rsi2=1.58; raw_entry=open:26.6400; slippage_bps=1.0; decision_date=2024-05-30 00:00:00; filter_close=26.6400; filter_ma50=22.9040; filter_avg_value_10=46.22; filter_adr20=3.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,EMBJ,2024-05-31,28.0506,27.888,0.1626,2024-05-31,27.8852,same_day_stop_loss_red_candle,357,10014.08,-59.05,-0.005897,-1.0171,-6.1595,-0.0172,0,92.0,entry=rsi2_next_open; setup_rsi2=2.15; raw_entry=open:28.0478; slippage_bps=1.0; decision_date=2024-05-30 00:00:00; filter_close=28.0678; filter_ma50=26.5675; filter_avg_value_10=40.41; filter_adr20=3.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,DJT,2024-05-22,43.5143,42.21,1.3044,2024-06-03,47.1953,3_day_low,229,9964.79,842.93,0.084591,2.822,-1.138,7.9776,8,95.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:43.5100; slippage_bps=1.0; decision_date=2024-05-21 00:00:00; filter_close=44.1900; filter_ma50=43.4630; filter_avg_value_10=220.86; filter_adr20=10.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,CVNA,2024-06-03,20.6581,19.615,1.0431,2024-06-03,19.613,same_day_stop_loss_red_candle,485,10019.16,-506.84,-0.050587,-1.0019,-1.1005,0.1361,0,97.0,entry=rsi2_next_open; setup_rsi2=2.71; raw_entry=open:20.6560; slippage_bps=1.0; decision_date=2024-05-31 00:00:00; filter_close=19.9960; filter_ma50=18.9806; filter_avg_value_10=312.42; filter_adr20=5.30; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,ONTO,2024-06-03,220.4821,209.58,10.9021,2024-06-03,209.559,same_day_stop_loss_red_candle,45,9921.69,-491.54,-0.049541,-1.0019,-1.0908,-0.002,0,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:220.4600; slippage_bps=1.0; decision_date=2024-05-31 00:00:00; filter_close=216.7000; filter_ma50=199.0390; filter_avg_value_10=96.24; filter_adr20=3.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,GGAL,2024-05-24,27.3806,27.0874,0.2932,2024-06-04,30.3679,3_day_low,365,9993.92,1090.36,0.109103,10.187,-1.6904,18.6029,7,94.0,entry=rsi2_next_open; setup_rsi2=2.53; raw_entry=open:27.3779; slippage_bps=1.0; decision_date=2024-05-23 00:00:00; filter_close=27.2810; filter_ma50=26.4373; filter_avg_value_10=28.56; filter_adr20=5.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,KD,2024-06-03,26.8427,25.96,0.8827,2024-06-04,25.9574,stop_loss,373,10012.32,-330.21,-0.03298,-1.0029,-1.0113,0.0876,1,93.0,entry=rsi2_next_open; setup_rsi2=1.37; raw_entry=open:26.8400; slippage_bps=1.0; decision_date=2024-05-31 00:00:00; filter_close=26.6100; filter_ma50=22.9894; filter_avg_value_10=44.85; filter_adr20=3.70; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,ZETA,2024-06-04,15.9616,15.862,0.0996,2024-06-04,15.8604,same_day_stop_loss_red_candle,627,10007.92,-63.44,-0.006339,-1.0159,-4.4339,0.486,0,96.0,entry=rsi2_next_open; setup_rsi2=3.47; raw_entry=open:15.9600; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=15.9600; filter_ma50=13.6866; filter_avg_value_10=46.14; filter_adr20=3.69; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,VRT,2024-06-04,93.7227,92.4166,1.3061,2024-06-04,92.4074,same_day_stop_loss_red_candle,106,9934.61,-139.43,-0.014034,-1.0071,-3.6883,0.3441,0,96.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:93.7134; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=95.8679; filter_ma50=90.0849; filter_avg_value_10=872.77; filter_adr20=4.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_3_day_low,SMTC,2024-06-04,37.9438,37.71,0.2338,2024-06-04,37.7062,same_day_stop_loss_red_candle,263,9979.22,-62.48,-0.006261,-1.0161,-3.9941,0.6681,0,94.0,entry=rsi2_next_open; setup_rsi2=4.47; raw_entry=open:37.9400; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=38.1800; filter_ma50=35.2882; filter_avg_value_10=50.50; filter_adr20=4.25; rs_bucket=rs90_100
