date,open_positions,gross_exposure,exposure_pct
2022-05-24,1,49933.92428736604,0.04996286652969339
2022-05-25,2,99886.76064180734,0.09989675245248207
2022-05-26,1,49933.92428736604,0.049808284829910614
2022-05-27,0,0.0,0.0
2022-05-31,0,0.0,0.0
2022-06-01,0,0.0,0.0
2022-06-02,0,0.0,0.0
2022-06-03,0,0.0,0.0
2022-06-06,0,0.0,0.0
2022-06-07,0,0.0,0.0
2022-06-08,0,0.0,0.0
2022-06-09,0,0.0,0.0
2022-06-10,3,150396.30088493205,0.14966001199118542
2022-06-13,11,547598.8290657928,0.5567530234639859
2022-06-14,32,1559180.1643311677,1.630396872237922
2022-06-15,36,1747786.0399686906,1.8573037912141628
2022-06-16,42,1999529.3026390306,2.3943580753999267
2022-06-17,46,2150564.359645847,2.8779183655905127
2022-06-21,49,2265061.6748190075,2.7646552149100407
2022-06-22,49,2265061.6748190075,3.0893170080142967
2022-06-23,47,2165419.39480257,3.269072217477667
2022-06-24,43,1972785.107943419,2.7697530625810995
2022-06-27,38,1726734.7526959158,2.2198326513629336
2022-06-28,19,873402.1430773364,1.0811107004295273
2022-06-29,20,912498.5434305727,1.1680526202021029
2022-06-30,19,862745.0671921573,1.1433180030297545
2022-07-01,23,1014500.8693251683,1.3288795734207726
2022-07-05,22,976411.111786182,1.341128315762369
2022-07-06,22,976411.111786182,1.3634777887471317
2022-07-07,17,753406.2072078584,1.0002575755966798
2022-07-08,17,753406.2072078584,1.0003337786208604
2022-07-11,15,665971.5841599435,0.8873740484273972
2022-07-12,15,665971.5841599435,0.9002886457342693
2022-07-13,17,728732.6047406744,0.9844448503216426
2022-07-14,17,728732.6047406744,1.0053979821577361
2022-07-15,20,839645.3530781656,1.132789451748941
2022-07-18,13,520129.5800889318,0.6923888754552674
2022-07-19,7,260503.2481475952,0.33442239058573336
2022-07-20,6,223559.23288744502,0.289156606117075
2022-07-21,6,225346.2706889572,0.29058948835743925
2022-07-22,6,225346.2706889572,0.2913395288546188
2022-07-25,8,302784.1229871479,0.3908792610863121
2022-07-26,7,267067.9455510874,0.34748816575735597
2022-07-27,9,344484.0847940954,0.4438335918676735
2022-07-28,9,344484.0847940954,0.4458854233397577
2022-07-29,9,344484.0847940954,0.4481670650248423
2022-08-01,8,305804.51707454433,0.4015536407931668
2022-08-02,7,267081.12488936674,0.34629035617379245
2022-08-03,5,191784.23391121233,0.24639680283737822
2022-08-04,4,153314.70639099498,0.1957862053966476
2022-08-05,4,154928.45039505704,0.19603645605298714
2022-08-08,5,194451.4375428125,0.24581021066497494
2022-08-09,3,115842.33617894778,0.1456651609097886
2022-08-10,3,116355.16983024584,0.145605084829693
2022-08-11,2,76917.39857039985,0.09617033742338031
2022-08-12,1,39881.94595621643,0.04981946170493391
2022-08-15,1,39881.94595621643,0.04979866707305652
2022-08-16,0,0.0,0.0
2022-08-17,0,0.0,0.0
2022-08-18,1,40062.46568580484,0.049787476654064806
2022-08-19,1,40062.46568580484,0.04977968377676886
2022-08-22,8,320765.7238579917,0.4002478409826825
2022-08-23,15,601256.3253329546,0.7483133194931446
2022-08-24,14,562039.8033887817,0.687425719324674
2022-08-25,7,281470.0096244331,0.34025464161101043
2022-08-26,7,281470.0096244331,0.3445156250598185
2022-08-29,8,322060.5470168144,0.3949095746463945
2022-08-30,8,322060.5470168144,0.3957343950805236
2022-08-31,17,689452.3719502791,0.8355637513209476
2022-09-01,18,730010.7288483214,0.8996580045766828
2022-09-02,32,1297998.3943782279,1.6059448612912128
2022-09-06,36,1457539.7919815392,1.8292561725309369
2022-09-07,35,1418066.5167485797,1.7464231637925254
2022-09-08,26,1055677.2644324803,1.2790817457928525
2022-09-09,16,652722.9790737256,0.7605091867535324
2022-09-12,11,449828.9511168689,0.5199937076836844
2022-09-13,10,408735.83122265025,0.4782505657572737
2022-09-14,9,368110.0204859349,0.42735372017382917
2022-09-15,9,368110.0204859349,0.43188223941197224
2022-09-16,11,452514.5854403568,0.5364473303219193
2022-09-19,12,499830.39085444587,0.5851403509263616
2022-09-20,13,542484.4161034529,0.6369849024604353
2022-09-21,17,711053.2712724603,0.8450022214720089
2022-09-22,23,957848.9203774678,1.1759060595506134
2022-09-23,31,1263464.1681763188,1.6619358287543415
