strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,CHRN,2026-05-14,16.65,13.02,3.629999,2026-05-15,17.200001,end_of_backtest,604,10056.6,332.2,0.033033,0.151516,-0.107438,1.016529,1,98.0,"buy_stop=pivot_high_1_1:16.6000; entry=max(open,pivot)"
breakout,ANTX,2026-05-14,4.9,3.94,0.96,2026-05-15,4.75,end_of_backtest,2053,10059.7,-307.95,-0.030612,-0.15625,-0.416667,0.104167,1,98.0,"buy_stop=pivot_high_1_1:4.9000; entry=max(open,pivot)"
breakout,BRUN,2026-05-14,23.700001,19.041,4.659,2026-05-15,29.6,end_of_backtest,424,10048.8,2501.6,0.248945,1.266366,-0.257566,1.674179,1,98.0,"buy_stop=pivot_high_1_1:23.7000; entry=max(open,pivot)"
breakout,ATEX,2026-05-14,56.5,53.154999,3.345001,2026-05-15,57.060001,end_of_backtest,178,10057.0,99.68,0.009912,0.167414,-0.451419,0.802691,1,97.0,"buy_stop=pivot_high_1_1:56.5000; entry=max(open,pivot)"
breakout,AGX,2026-05-14,742.299988,667.320007,74.97998,2026-05-15,722.309998,end_of_backtest,13,9649.9,-259.87,-0.02693,-0.266604,-0.697519,0.082689,1,96.0,"buy_stop=pivot_high_1_1:742.3000; entry=max(open,pivot)"
breakout,ASPN,2026-05-14,5.63,5.03,0.6,2026-05-15,5.6,end_of_backtest,1785,10049.55,-53.55,-0.005329,-0.05,-0.633334,0.708333,1,93.0,"buy_stop=pivot_high_1_1:5.6300; entry=max(open,pivot)"
breakout,CBIO,2026-05-14,19.809999,17.91,1.9,2026-05-15,19.969999,end_of_backtest,507,10043.67,81.12,0.008077,0.08421,-0.68421,0.989474,1,92.0,"buy_stop=pivot_high_1_1:19.8100; entry=max(open,pivot)"
breakout,BORR,2026-05-14,6.255,6.02,0.235,2026-05-15,6.26,end_of_backtest,1607,10051.79,8.04,0.000799,0.021277,-0.957446,0.52766,1,91.0,"buy_stop=pivot_high_1_1:6.2550; entry=max(open,pivot)"
breakout,CD,2026-05-15,7.22,5.74,1.48,2026-05-15,8.29,end_of_backtest,1353,9768.66,1447.71,0.148199,0.722973,-0.027027,0.72973,0,93.0,"buy_stop=pivot_high_1_1:6.7300; entry=max(open,pivot)"
breakout,BTE,2026-05-15,5.01,4.89,0.12,2026-05-15,5.17,end_of_backtest,1953,9784.53,312.48,0.031936,1.333328,-0.416667,1.499994,0,93.0,"buy_stop=pivot_high_1_1:5.0100; entry=max(open,pivot)"
breakout,BWLP,2026-05-15,21.049999,20.190001,0.859999,2026-05-15,21.059999,end_of_backtest,465,9788.25,4.65,0.000475,0.011628,-0.697674,0.011628,0,90.0,"buy_stop=pivot_high_1_1:21.0500; entry=max(open,pivot)"
breakout,AVR,2026-05-15,7.14,6.48,0.66,2026-05-15,7.24,end_of_backtest,1371,9788.94,137.1,0.014006,0.151515,-0.30303,0.325758,0,90.0,"buy_stop=pivot_high_1_1:6.7550; entry=max(open,pivot)"
