strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_1d_close,DJT,2024-05-21,48.1848,,,2024-05-22,44.5855,hold_1d_close,2075,99983.5,-7468.5,-0.074697,,,,1,97.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:48.1800; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-20 00:00:00; filter_close=48.3800; filter_ma50=43.3610; filter_avg_value_10=218.38; filter_adr20=10.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,IBRX,2024-05-21,6.9707,,,2024-05-22,6.9393,hold_1d_close,14226,99165.13,-446.56,-0.004503,,,,1,97.0,entry=rsi2_next_open; setup_rsi2=2.34; raw_entry=open:6.9700; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-20 00:00:00; filter_close=7.0400; filter_ma50=6.3470; filter_avg_value_10=46.58; filter_adr20=15.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,IBRX,2024-05-22,6.7807,,,2024-05-23,6.6793,hold_1d_close,14631,99208.1,-1482.8,-0.014946,,,,1,97.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:6.7800; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-21 00:00:00; filter_close=6.8050; filter_ma50=6.3803; filter_avg_value_10=41.99; filter_adr20=14.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,DJT,2024-05-22,43.5143,,,2024-05-23,43.9056,hold_1d_close,2285,99430.29,894.03,0.008992,,,,1,95.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:43.5100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-21 00:00:00; filter_close=44.1900; filter_ma50=43.4630; filter_avg_value_10=220.86; filter_adr20=10.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,JMIA,2024-05-23,5.7506,,,2024-05-24,6.1594,hold_1d_close,17241,99145.66,7048.27,0.07109,,,,1,93.0,entry=rsi2_next_open; setup_rsi2=4.96; raw_entry=open:5.7500; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=5.7000; filter_ma50=5.3830; filter_avg_value_10=27.41; filter_adr20=9.64; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,MOD,2024-05-23,98.8199,,,2024-05-24,103.7396,hold_1d_close,1001,98918.7,4924.67,0.049785,,,,1,93.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:98.8100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=96.7500; filter_ma50=95.3636; filter_avg_value_10=99.40; filter_adr20=5.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,IAG,2024-05-23,4.0304,,,2024-05-24,3.9996,hold_1d_close,24509,98781.15,-754.96,-0.007643,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=4.59; raw_entry=open:4.0300; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=4.0100; filter_ma50=3.6524; filter_avg_value_10=49.50; filter_adr20=4.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,WING,2024-05-23,377.4063,,,2024-05-24,380.1631,hold_1d_close,260,98125.64,716.77,0.007305,,,,1,90.0,entry=rsi2_next_open; setup_rsi2=4.90; raw_entry=open:377.3686; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=374.9026; filter_ma50=365.1281; filter_avg_value_10=130.91; filter_adr20=3.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,TME,2024-05-24,13.7353,,,2024-05-28,14.19,hold_1d_close,7305,100336.49,3321.5,0.033104,,,,2,95.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:13.7339; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=13.8197; filter_ma50=11.8426; filter_avg_value_10=130.25; filter_adr20=3.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,JMIA,2024-05-24,5.7306,,,2024-05-28,6.2394,hold_1d_close,17557,100611.67,8933.05,0.088787,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:5.7300; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=5.6600; filter_ma50=5.3560; filter_avg_value_10=25.72; filter_adr20=9.65; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,TWST,2024-05-24,41.9042,,,2024-05-28,42.4358,hold_1d_close,2419,101366.24,1285.85,0.012685,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=2.26; raw_entry=open:41.9000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=41.3600; filter_ma50=35.9376; filter_avg_value_10=44.25; filter_adr20=6.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,GGAL,2024-05-24,27.3806,,,2024-05-28,29.1092,hold_1d_close,3705,101445.11,6404.35,0.063131,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=2.53; raw_entry=open:27.3779; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=27.2810; filter_ma50=26.4373; filter_avg_value_10=28.56; filter_adr20=5.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_1d_close,MOD,2024-05-24,96.9397,,,2024-05-28,100.33,hold_1d_close,1051,101883.62,3563.17,0.034973,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=3.84; raw_entry=open:96.9300; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=96.7200; filter_ma50=95.6396; filter_avg_value_10=103.28; filter_adr20=5.32; rs_bucket=rs90_100
