strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_5d_close,DJT,2024-05-21,48.1848,47.84,0.3448,2024-05-21,47.8352,same_day_stop_loss_red_candle,207,9974.26,-72.37,-0.007255,-1.0139,-17.3274,0.595,0,97.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:48.1800; slippage_bps=1.0; decision_date=2024-05-20 00:00:00; filter_close=48.3800; filter_ma50=43.3610; filter_avg_value_10=218.38; filter_adr20=10.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,IBRX,2024-05-21,6.9707,6.88,0.0907,2024-05-21,6.8793,same_day_stop_loss_red_candle,1434,9995.98,-131.05,-0.01311,-1.0076,-5.1898,0.8303,0,97.0,entry=rsi2_next_open; setup_rsi2=2.34; raw_entry=open:6.9700; slippage_bps=1.0; decision_date=2024-05-20 00:00:00; filter_close=7.0400; filter_ma50=6.3470; filter_avg_value_10=46.58; filter_adr20=15.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,JMIA,2024-05-23,5.7506,5.66,0.0906,2024-05-23,5.6594,same_day_stop_loss_red_candle,1738,9994.5,-158.4,-0.015849,-1.0062,-2.2145,1.4289,0,93.0,entry=rsi2_next_open; setup_rsi2=4.96; raw_entry=open:5.7500; slippage_bps=1.0; decision_date=2024-05-22 00:00:00; filter_close=5.7000; filter_ma50=5.3830; filter_avg_value_10=27.41; filter_adr20=9.64; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,IAG,2024-05-23,4.0304,3.91,0.1204,2024-05-23,3.9096,same_day_stop_loss_red_candle,2479,9991.37,-299.45,-0.029971,-1.0032,-1.4983,0.2458,0,92.0,entry=rsi2_next_open; setup_rsi2=4.59; raw_entry=open:4.0300; slippage_bps=1.0; decision_date=2024-05-22 00:00:00; filter_close=4.0100; filter_ma50=3.6524; filter_avg_value_10=49.50; filter_adr20=4.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,IBRX,2024-05-22,6.7807,6.5,0.2807,2024-05-24,6.4993,stop_loss,1474,9994.72,-414.68,-0.04149,-1.0023,-1.4988,1.4227,2,97.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:6.7800; slippage_bps=1.0; decision_date=2024-05-21 00:00:00; filter_close=6.8050; filter_ma50=6.3803; filter_avg_value_10=41.99; filter_adr20=14.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,TWST,2024-05-24,41.9042,41.22,0.6842,2024-05-28,41.2159,stop_loss,238,9973.2,-163.82,-0.016426,-1.006,-1.0146,2.2009,2,94.0,entry=rsi2_next_open; setup_rsi2=2.26; raw_entry=open:41.9000; slippage_bps=1.0; decision_date=2024-05-23 00:00:00; filter_close=41.3600; filter_ma50=35.9376; filter_avg_value_10=44.25; filter_adr20=6.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,CVNA,2024-05-28,22.1522,21.714,0.4382,2024-05-28,21.7118,same_day_stop_loss_red_candle,452,10012.8,-199.05,-0.01988,-1.005,-3.4007,0.1136,0,98.0,entry=rsi2_next_open; setup_rsi2=4.56; raw_entry=open:22.1500; slippage_bps=1.0; decision_date=2024-05-24 00:00:00; filter_close=21.8300; filter_ma50=18.6353; filter_avg_value_10=368.62; filter_adr20=5.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,DJT,2024-05-22,43.5143,42.21,1.3044,2024-05-29,51.1149,hold_5d_close,229,9964.79,1740.52,0.174667,5.8271,-1.138,6.6421,5,95.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:43.5100; slippage_bps=1.0; decision_date=2024-05-21 00:00:00; filter_close=44.1900; filter_ma50=43.4630; filter_avg_value_10=220.86; filter_adr20=10.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,MOD,2024-05-23,98.8199,85.77,13.0499,2024-05-30,101.2099,hold_5d_close,101,9980.81,241.39,0.024185,0.1831,-0.2805,0.5081,5,93.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:98.8100; slippage_bps=1.0; decision_date=2024-05-22 00:00:00; filter_close=96.7500; filter_ma50=95.3636; filter_avg_value_10=99.40; filter_adr20=5.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,WING,2024-05-23,377.4063,370.2279,7.1784,2024-05-30,382.2229,hold_5d_close,26,9812.56,125.23,0.012762,0.671,-0.5751,1.8187,5,90.0,entry=rsi2_next_open; setup_rsi2=4.90; raw_entry=open:377.3686; slippage_bps=1.0; decision_date=2024-05-22 00:00:00; filter_close=374.9026; filter_ma50=365.1281; filter_avg_value_10=130.91; filter_adr20=3.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,EMBJ,2024-05-30,28.3703,27.9879,0.3824,2024-05-30,27.9851,same_day_stop_loss_red_candle,354,10043.09,-136.36,-0.013578,-1.0073,-1.2612,0.0187,0,92.0,entry=rsi2_next_open; setup_rsi2=2.24; raw_entry=open:28.3675; slippage_bps=1.0; decision_date=2024-05-29 00:00:00; filter_close=28.0878; filter_ma50=26.5070; filter_avg_value_10=49.43; filter_adr20=3.42; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,SE,2024-05-30,67.2367,66.95,0.2867,2024-05-30,66.9433,same_day_stop_loss_red_candle,149,10018.27,-43.72,-0.004364,-1.0233,-3.0228,0.9182,0,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:67.2300; slippage_bps=1.0; decision_date=2024-05-29 00:00:00; filter_close=68.0700; filter_ma50=61.3886; filter_avg_value_10=402.44; filter_adr20=3.62; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,TME,2024-05-24,13.7353,13.6386,0.0967,2024-05-31,13.6373,stop_loss,728,9999.31,-71.38,-0.007138,-1.0141,-2.1019,8.5623,5,95.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:13.7339; slippage_bps=1.0; decision_date=2024-05-23 00:00:00; filter_close=13.8197; filter_ma50=11.8426; filter_avg_value_10=130.25; filter_adr20=3.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,JMIA,2024-05-24,5.7306,5.55,0.1806,2024-05-31,7.0893,hold_5d_close,1745,9999.85,2370.96,0.2371,7.5245,-0.0586,8.5585,5,94.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:5.7300; slippage_bps=1.0; decision_date=2024-05-23 00:00:00; filter_close=5.6600; filter_ma50=5.3560; filter_avg_value_10=25.72; filter_adr20=9.65; rs_bucket=rs90_100
